State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,09:15,RoyaleRecliners,250₹,27,7
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,09:15,Royale,150₹,83,68
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,09:15,Club,130₹,90,27
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,09:15,Executive,130₹,30,0
Maharashtra,Kolhapur,PvrDypCityMallKavalaNaka,Marathi,09:30,Classic,150₹,42,0
Maharashtra,Kolhapur,PvrDypCityMallKavalaNaka,Marathi,09:30,Prime,150₹,194,36
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Marathi,10:10,RoyaleRecliners,300₹,10,0
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Marathi,10:10,Royale,170₹,60,21
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Marathi,10:10,Club,160₹,93,8
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Marathi,10:10,Executive,150₹,36,0
Maharashtra,Mumbai,CarnivalMoviestarGoregaonW,Marathi,11:05,SilverOffline,90₹,24,0
Maharashtra,Mumbai,CarnivalMoviestarGoregaonW,Marathi,11:05,GoldOffline,90₹,46,31
Maharashtra,Pune,InoxJaiGaneshVisionMallAkurdi,Marathi,11:30,Premiere,140₹,90,38
Maharashtra,Pune,InoxJaiGaneshVisionMallAkurdi,Marathi,11:30,Silver,140₹,48,48
Maharashtra,Jalgaon,PvrUtsavKirtiMallNaviPeth,Marathi,12:05,ClassicPlus,110₹,120,21
Maharashtra,Jalgaon,PvrUtsavKirtiMallNaviPeth,Marathi,12:05,Classic,110₹,51,0
Maharashtra,Jalgaon,PvrUtsavKirtiMallNaviPeth,Marathi,12:05,Prime,110₹,55,18
Maharashtra,Rahuri,VitthaMadhavPicturePalace,Marathi,12:30,FirstClass,60₹,152,0
Maharashtra,Rahuri,VitthaMadhavPicturePalace,Marathi,12:30,SecondClass,50₹,298,0
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,13:55,ReclinerOffline,200₹,27,23
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,13:55,PlatinumOffline,160₹,80,63
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,13:55,GoldOffline,140₹,65,33
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,13:55,SilverOffline,120₹,48,7
Maharashtra,Mumbai,MovietimeHubMallGoregaonE,Marathi,14:30,Gold,150₹,196,109
Maharashtra,Baramati,CarnivalCinemasSubhadraMallBaramati,Marathi,15:15,VipRecliner,300₹,3,0
Maharashtra,Baramati,CarnivalCinemasSubhadraMallBaramati,Marathi,15:15,Recliner,250₹,34,15
Maharashtra,Rahuri,VitthaMadhavPicturePalace,Marathi,15:30,FirstClass,60₹,152,0
Maharashtra,Rahuri,VitthaMadhavPicturePalace,Marathi,15:30,SecondClass,50₹,298,0
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Marathi,16:10,Classic,200₹,26,0
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Marathi,16:10,Prime,200₹,95,68
Maharashtra,Pune,CarnivalPremierPlazaChinchwad,Marathi,16:25,PlatinumOffline,170₹,36,36
Maharashtra,Pune,CarnivalPremierPlazaChinchwad,Marathi,16:25,GoldOffline,150₹,18,18
Maharashtra,Pune,CarnivalPremierPlazaChinchwad,Marathi,16:25,SilverOffline,130₹,9,9
Maharashtra,Nashik,InoxOldVijayMamtaNasik,Marathi,17:20,Gold,150₹,29,15
Maharashtra,Nashik,InoxOldVijayMamtaNasik,Marathi,17:20,Platinum,112₹,14,14
Maharashtra,Nashik,InoxOldVijayMamtaNasik,Marathi,17:20,Silver,112₹,237,77
Maharashtra,Nashik,InoxOldVijayMamtaNasik,Marathi,17:20,Executive,90₹,59,0
Maharashtra,Mumbai,MovietimeHubMallGoregaonE,Marathi,17:40,Mhraja,170₹,44,42
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,19:50,Club,200₹,84,72
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,19:50,Executive,200₹,28,0
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,19:50,Royale,200₹,21,21
Maharashtra,Rahuri,VitthaMadhavPicturePalace,Marathi,21:30,FirstClass,60₹,100,0
Maharashtra,Rahuri,VitthaMadhavPicturePalace,Marathi,21:30,SecondClass,50₹,100,0
