City,Name,Language,Time,Type,Price,Capacity,Booked
Rajkot,InoxRWorldRajkot,Gujarathi,09:00,Gold,150₹,133,133
Rajkot,InoxRWorldRajkot,Gujarathi,09:00,Silver,150₹,41,22
Mumbai,InoxRCityGhatkoparW,Gujarathi,09:00,Club,150₹,63,63
Mumbai,InoxRCityGhatkoparW,Gujarathi,09:00,Executive,150₹,36,36
Mumbai,InoxRCityGhatkoparW,Gujarathi,09:00,RoyalRecliner,150₹,13,13
Mumbai,InoxRCityGhatkoparW,Gujarathi,09:00,Royal,150₹,37,37
Mumbai,PaytmImaxInoxRCityGhatkoparW,Gujarathi,09:00,Club,150₹,63,63
Mumbai,PaytmImaxInoxRCityGhatkoparW,Gujarathi,09:00,Executive,150₹,36,36
Mumbai,PaytmImaxInoxRCityGhatkoparW,Gujarathi,09:00,RoyalRecliner,150₹,13,13
Mumbai,PaytmImaxInoxRCityGhatkoparW,Gujarathi,09:00,Royal,150₹,37,37
