State,City,Name,Language,Time,Type,Price,Capacity,Booked
Gujarat,Junagadh,SurajCineplexJunagadh,Hindi,09:00,Gold,150₹,100,0
Gujarat,Junagadh,SurajCineplexJunagadh,Hindi,09:00,Silver,150₹,100,0
Gujarat,Junagadh,SurajCineplexJunagadh,Hindi,09:00,Gold,150₹,100,0
Gujarat,Junagadh,SurajCineplexJunagadh,Hindi,09:00,Silver,150₹,100,0
MadhyaPradesh,Ujjain,PvrTreasureBazaarMallUjjain,Hindi,09:00,Classic,150₹,48,48
MadhyaPradesh,Ujjain,PvrTreasureBazaarMallUjjain,Hindi,09:00,Prime,150₹,194,194
MadhyaPradesh,Ujjain,PvrTreasureBazaarMallUjjain,Hindi,09:00,ClassicPlus,150₹,80,80
MadhyaPradesh,Ujjain,PvrTreasureBazaarMallUjjain,Hindi,09:00,Classic,150₹,51,51
MadhyaPradesh,Ujjain,PvrTreasureBazaarMallUjjain,Hindi,09:00,Prime,150₹,177,177
MadhyaPradesh,Ujjain,PvrTreasureBazaarMallUjjain,Hindi,09:00,ClassicPlus,150₹,83,83
Maharashtra,Mumbai,InoxRCityGhatkoparW,Gujarathi,09:15,Club,150₹,63,63
Maharashtra,Mumbai,InoxRCityGhatkoparW,Gujarathi,09:15,Executive,150₹,36,36
Maharashtra,Mumbai,InoxRCityGhatkoparW,Gujarathi,09:15,RoyalRecliner,150₹,12,12
Maharashtra,Mumbai,InoxRCityGhatkoparW,Gujarathi,09:15,Royal,150₹,37,37
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Gujarathi,09:15,Club,150₹,63,63
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Gujarathi,09:15,Executive,150₹,36,36
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Gujarathi,09:15,RoyalRecliner,150₹,12,12
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Gujarathi,09:15,Royal,150₹,37,37
