State,City,Name,Language,Time,Type,Price,Capacity,Booked
WestBengal,Kolkata,CarnivalSaltLake,Bengali,13:00,Silver,110₹,190,13
WestBengal,Kolkata,RupMandirCinemaKolkata,Bengali,14:30,Platinum,100₹,48,6
WestBengal,Kolkata,RupMandirCinemaKolkata,Bengali,14:30,Gold,80₹,102,32
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,15:00,Gold,130₹,60,0
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,15:00,Diamond,130₹,115,5
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,15:00,Silver,110₹,40,0
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,15:05,Executive,110₹,168,0
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,15:05,Economy,110₹,34,0
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,15:05,Regular,110₹,65,0
WestBengal,Howrah,InoxForumRangoliMallBelur,Bengali,16:15,Club,230₹,159,1
WestBengal,Howrah,InoxForumRangoliMallBelur,Bengali,16:15,Executive,210₹,69,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,16:20,Recliner,460₹,10,3
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,16:20,Prime,290₹,11,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,16:20,Classic,240₹,252,6
WestBengal,Siliguri,InoxCityCentreMatigara,Bengali,16:30,Royale,320₹,10,2
WestBengal,Siliguri,InoxCityCentreMatigara,Bengali,16:30,Club,250₹,176,11
WestBengal,Siliguri,InoxCityCentreMatigara,Bengali,16:30,Executive,230₹,32,0
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,16:55,RoyalRecliner,450₹,8,2
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,16:55,Club,290₹,112,0
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,16:55,Royal,290₹,28,4
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,16:55,Executive,270₹,24,0
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,16:55,Prime,330₹,6,2
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,16:55,Classic,250₹,183,9
WestBengal,Kolkata,InoxSwabhumiMaulanaAzadSarani,Bengali,17:00,Royal,250₹,16,0
WestBengal,Kolkata,InoxSwabhumiMaulanaAzadSarani,Bengali,17:00,Club,210₹,134,1
WestBengal,Kolkata,InoxSwabhumiMaulanaAzadSarani,Bengali,17:00,Executive,180₹,32,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,17:05,Recliner,560₹,8,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,17:05,Prime,290₹,94,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,17:05,Classic,240₹,48,0
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,17:15,Club,220₹,229,114
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,17:15,Executive,200₹,42,0
WestBengal,Kolkata,CinepolisLakeMall,Bengali,17:20,Vip,450₹,12,2
WestBengal,Kolkata,CinepolisLakeMall,Bengali,17:20,Premium,250₹,20,13
WestBengal,Kolkata,CinepolisLakeMall,Bengali,17:20,Executive,230₹,187,24
WestBengal,Kolkata,CinepolisLakeMall,Bengali,17:20,Normal,210₹,40,0
WestBengal,Howrah,MirajCinemasAurobinoMallHowrah,Bengali,18:00,Premium,160₹,136,0
WestBengal,Howrah,MirajCinemasAurobinoMallHowrah,Bengali,18:00,Deluxe,160₹,121,0
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,18:10,Royal,170₹,71,0
