City,Name,Language,Time,Type,Price,Capacity,Booked
Coimbatore,InoxProzoneMallCoimbatore,English,08:15,Club,211₹,135,13
Coimbatore,InoxProzoneMallCoimbatore,English,08:15,Executive,66₹,19,9
Chennai,InoxTheMarinaMallOmr,English,08:15,Club,168₹,126,21
Chennai,InoxTheMarinaMallOmr,English,08:15,Executive,66₹,16,2
Madurai,InoxVishaalDeMalMadurai,English,08:20,Club,197₹,136,11
Madurai,InoxVishaalDeMalMadurai,English,08:20,Executive,66₹,12,0
Pune,InoxBundGarden,English,08:45,Royale,250₹,32,5
Goa,InoxOldGmcDbRoad,English,08:55,Royal,150₹,95,8
Goa,InoxOldGmcDbRoad,English,08:55,Club,140₹,90,0
Goa,InoxOldGmcDbRoad,English,08:55,Executive,140₹,36,0
Mumbai,CarnivalImaxWadala,English,08:55,PremiumOffline,150₹,38,3
Mumbai,CarnivalImaxWadala,English,08:55,GoldOffline,120₹,60,0
Mumbai,CarnivalImaxWadala,English,08:55,PlatinumOffline,120₹,167,1
DelhiNcr,PvrSelectCityWalkSaket,English,09:00,ReclinersNormal,400₹,12,1
DelhiNcr,PvrSelectCityWalkSaket,English,09:00,ClassicSuperior,200₹,81,2
DelhiNcr,PvrSelectCityWalkSaket,English,09:00,ClassicNormal,175₹,196,5
Hyderabad,PlatinumCinemasGachibowli,English,09:00,PlatinumPremiumRecliner,400₹,15,3
Hyderabad,PlatinumCinemasGachibowli,English,09:00,PlatinumRecliners,400₹,24,0
Vadodara,PvrTransCubeVadodara,English,09:00,Recliner,250₹,8,0
Vadodara,PvrTransCubeVadodara,English,09:00,Classic,140₹,42,0
Vadodara,PvrTransCubeVadodara,English,09:00,Prime,140₹,99,19
Noida,PvrLogixCityCentre4DxNoida,English,09:00,Classic,525₹,80,26
Indore,InoxC21MallSheetalNagar,English,09:00,Cl,250₹,33,3
Indore,InoxC21MallSheetalNagar,English,09:00,Ry,250₹,63,10
Pune,PvrMarketCityGoldVimanNagar,English,09:00,GoldPrime,400₹,22,0
Pune,PvrMarketCityGoldVimanNagar,English,09:00,GoldClassic,350₹,24,4
Mumbai,CarnivalSangamAndheriE,English,09:00,PlatinumOffline,180₹,19,0
Mumbai,CarnivalSangamAndheriE,English,09:00,GoldOffline,140₹,38,0
Mumbai,CarnivalSangamAndheriE,English,09:00,SilverOffline,110₹,195,18
Mumbai,CarnivalSangamAndheriE,English,09:00,BronzeOffline,110₹,53,0
Mumbai,CinepolisSeawoodsLT,English,09:00,Normal,450₹,96,8
Kolkata,InoxForumMallElginRoad,English,09:05,DressCircle,150₹,108,2
Kolkata,InoxForumMallElginRoad,English,09:05,Galleria,150₹,36,0
