State,City,Name,Language,Time,Type,Price,Capacity,Booked
Gujarat,Vadodara,CinemarcAkota,Gujarathi,08:40,Gold,70₹,25,9
Gujarat,Vadodara,CinemarcAkota,Gujarathi,08:40,Silver,70₹,87,0
Gujarat,Vadodara,CinemarcAkota,Gujarathi,08:40,Premier,70₹,12,0
Gujarat,Gandhinagar,InoxR21Gandhinagar,Gujarathi,10:05,Platinum,112₹,13,0
Gujarat,Gandhinagar,InoxR21Gandhinagar,Gujarathi,10:05,Gold,90₹,84,1
Gujarat,Gandhinagar,InoxR21Gandhinagar,Gujarathi,10:05,Silver,90₹,28,0
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarathi,11:15,Recliner,320₹,24,5
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarathi,11:15,Prime,160₹,76,16
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarathi,11:15,ClassicPlus,140₹,38,0
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarathi,11:15,Classic,130₹,38,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarathi,11:40,Imperial,290₹,5,5
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarathi,11:40,Platinum,170₹,20,1
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarathi,11:40,Gold,140₹,23,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarathi,11:40,Silver,112₹,10,0
Gujarat,Ahmedabad,MirajCityPulseManiNagar,Gujarathi,12:55,Gold,180₹,24,3
Gujarat,Vadodara,CinepolisInorbitMall,Gujarathi,13:10,Normal,170₹,24,0
Gujarat,Vadodara,CinepolisInorbitMall,Gujarathi,13:10,Premium,170₹,26,7
Gujarat,Vadodara,CinepolisInorbitMall,Gujarathi,13:10,Executive,170₹,93,0
Gujarat,Surat,CinepolisImperialSquareMall,Gujarathi,13:10,Premium,170₹,42,4
Gujarat,Surat,CinepolisImperialSquareMall,Gujarathi,13:10,Normal,150₹,32,0
Gujarat,Surat,CinepolisImperialSquareMall,Gujarathi,13:10,Executive,150₹,93,9
Gujarat,Nadiad,InoxOpalOneMallNadiad,Gujarathi,14:35,RoyalRecliners,190₹,15,0
Gujarat,Nadiad,InoxOpalOneMallNadiad,Gujarathi,14:35,Royal,112₹,52,0
Gujarat,Nadiad,InoxOpalOneMallNadiad,Gujarathi,14:35,Club,100₹,128,0
Gujarat,Nadiad,InoxOpalOneMallNadiad,Gujarathi,14:35,Executive,90₹,32,0
Maharashtra,Mumbai,CarnivalMoviestarGoregaonW,Gujarathi,22:00,GoldOffline,140₹,46,15
Maharashtra,Mumbai,CarnivalMoviestarGoregaonW,Gujarathi,22:00,SilverOffline,110₹,24,1
