State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Ahmednagar,AshaSquareMultiplexAhmednagar,Marathi,09:00,GoldenClass,100₹,342,0
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,09:00,Normal,130₹,33,0
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,09:00,Premium,130₹,64,8
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,09:00,Executive,130₹,145,0
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,09:00,RoyaleRecliners,250₹,16,2
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,09:00,Royale,150₹,121,4
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,09:00,Club,130₹,90,0
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,09:00,Executive,130₹,30,0
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,09:00,Normal,160₹,27,0
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,09:00,Premium,160₹,46,20
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,09:00,Executive,160₹,106,5
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,09:05,ReclinerOffline,160₹,16,4
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,09:05,PlatinumOffline,120₹,112,8
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,09:05,GoldOffline,110₹,65,1
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,09:05,SilverOffline,100₹,48,2
Maharashtra,Pune,CarnivalPremierPlazaChinchwad,Marathi,09:05,PremiumReclineOffline,190₹,29,6
Maharashtra,Pune,CarnivalPremierPlazaChinchwad,Marathi,09:05,PrimeOffline,140₹,44,0
Maharashtra,Pune,CarnivalPremierPlazaChinchwad,Marathi,09:05,PlatinumOffline,110₹,173,0
Maharashtra,Pune,CarnivalPremierPlazaChinchwad,Marathi,09:05,GoldOffline,100₹,120,0
Maharashtra,Pune,CarnivalPremierPlazaChinchwad,Marathi,09:05,SilverOffline,90₹,90,0
Maharashtra,Mumbai,CarnivalMoviestarGoregaonW,Marathi,09:05,BoxOffline,190₹,6,3
Maharashtra,Mumbai,CarnivalMoviestarGoregaonW,Marathi,09:05,SpecialOffline,110₹,48,21
Maharashtra,Mumbai,CarnivalMoviestarGoregaonW,Marathi,09:05,SilverOffline,90₹,51,0
