State,City,Name,Language,Time,Type,Price,Capacity,Booked
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,09:00,Recliner,270₹,18,10
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,09:00,Gold,170₹,134,20
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,09:00,Silver,170₹,34,0
Punjab,Tanda,CarnivalLakhiCinemaGurdaspurRoad,Punjabi,09:15,Gold,160₹,111,0
Punjab,Tanda,CarnivalLakhiCinemaGurdaspurRoad,Punjabi,09:15,Silver,140₹,63,0
Punjab,Firozpur,SilverBirdCinemas,Punjabi,09:15,Box,400₹,16,0
Punjab,Firozpur,SilverBirdCinemas,Punjabi,09:15,Gold,150₹,231,68
Chandigarh,Chandigarh,CinepolisTdiJagatMall,Punjabi,09:25,Executive,112₹,139,10
Chandigarh,Chandigarh,CinepolisTdiJagatMall,Punjabi,09:25,Normal,95₹,70,0
Punjab,Fazilka,OhmOrbitNovaCinemaSanjeevChowk,Punjabi,09:30,Box1,200₹,8,0
Punjab,Fazilka,OhmOrbitNovaCinemaSanjeevChowk,Punjabi,09:30,Box2,200₹,10,0
Punjab,Fazilka,OhmOrbitNovaCinemaSanjeevChowk,Punjabi,09:30,Gold,100₹,138,0
Punjab,Fazilka,OhmOrbitNovaCinemaSanjeevChowk,Punjabi,09:30,Silver,100₹,26,0
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,09:30,Prime,200₹,86,0
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,09:30,Classic,170₹,136,0
Punjab,Bathinda,FunPlazaKotkapura,Punjabi,09:30,Executive,120₹,168,138
Punjab,Nakodar,KcAnandMiniplexNakodar,Punjabi,09:30,Gold,170₹,90,0
Punjab,Nakodar,KcAnandMiniplexNakodar,Punjabi,09:30,Silver,170₹,60,0
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,09:30,Gold,160₹,122,0
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,09:30,Vip,400₹,10,1
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,09:30,Executive,180₹,39,0
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,09:30,Normal,170₹,39,0
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,09:30,Normal,100₹,39,0
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,09:30,Premium,100₹,70,2
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,09:30,Executive,100₹,39,0
Punjab,Baghapurana,SuncityCinemaBaghapurana,Punjabi,09:30,Platinum,150₹,27,0
Punjab,Baghapurana,SuncityCinemaBaghapurana,Punjabi,09:30,Gold,100₹,121,0
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,09:35,Vip,260₹,9,0
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,09:35,Premium,160₹,30,0
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,09:35,Executive,140₹,59,0
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,09:35,Normal,120₹,22,0
Chandigarh,Chandigarh,FunCinemasRepublicMall,Punjabi,09:45,Normal,100₹,50,0
Chandigarh,Chandigarh,FunCinemasRepublicMall,Punjabi,09:45,Executive,100₹,136,0
Punjab,Mullanpur,4GNovaCinemazMullanpurMandiRoad,Punjabi,09:45,Platinum,160₹,100,0
Punjab,Mullanpur,4GNovaCinemazMullanpurMandiRoad,Punjabi,09:45,Gold,110₹,60,0
Punjab,Mullanpur,4GNovaCinemazMullanpurMandiRoad,Punjabi,09:45,Silver,110₹,60,0
Punjab,Jalandhar,CarnivalVivaCollageParagpur,Punjabi,09:45,Recliner,200₹,20,0
