State,City,Name,Language,Time,Type,Price,Capacity,Booked
Karnataka,Bangalore,PvrForumMallKoramangala,Malayalam,09:20,Recliner,250₹,12,2
Karnataka,Bangalore,PvrForumMallKoramangala,Malayalam,09:20,Classic,112₹,166,5
Kerala,Kochi,PvrLuluKochi,Malayalam,09:40,Recliner,240₹,14,2
Kerala,Kochi,PvrLuluKochi,Malayalam,09:40,Prime,125₹,125,23
Kerala,Kochi,PvrLuluKochi,Malayalam,09:40,ClassicPlus,110₹,108,7
Kerala,Kochi,PvrLuluKochi,Malayalam,09:40,Classic,89₹,54,0
Kerala,Kollam,CarnivalRpMallKollam,Malayalam,10:00,PremiumOffline,100₹,108,18
Kerala,Perinthalmanna,VismayaCinemasPerinthalmanna,Malayalam,10:00,Platinum,100₹,230,25
Kerala,Calicut,MallikaPlexDolbyAtmosCalicut,Malayalam,10:00,Executive,140₹,244,47
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:10,RoyalRecliner,200₹,14,2
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:10,Club,130₹,256,4
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:10,Royal,130₹,32,7
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:10,Executive,100₹,36,0
Kerala,Karunagappally,CarnivalHJComplexLalajiJunction,Malayalam,10:15,ClassicOffline,100₹,194,15
Kerala,Payyanur,RajadhaniCinemasPayyanur,Malayalam,10:30,UpperCircle,130₹,502,0
Kerala,Angamaly,CarnivalKsrtComplexSalemErnakulamHighway,Malayalam,10:30,GoldOffline,110₹,203,31
Kerala,Thalassery,CarnivalDowntownThalassery,Malayalam,10:30,ExecutiveOffline,110₹,136,15
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,10:45,Silver,190₹,103,14
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,10:45,ExecutiveOffline,160₹,72,0
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,10:45,NormalOffline,100₹,18,0
Kerala,Edappal,GovindaCinemasEdappal,Malayalam,11:00,ReclineCircle,250₹,4,0
Kerala,Edappal,GovindaCinemasEdappal,Malayalam,11:00,FamilyCircle,130₹,92,0
Kerala,Edappal,GovindaCinemasEdappal,Malayalam,11:00,Diamond,110₹,194,0
Kerala,Edappal,GovindaCinemasEdappal,Malayalam,11:00,Diamond,110₹,143,3
Kerala,Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Malayalam,11:00,DiamondSofa,200₹,4,0
Kerala,Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Malayalam,11:00,Gold,150₹,173,0
Kerala,Muvattupuzha,CarnivalGrandCentreMallAramanaJunction,Malayalam,11:00,ExecutiveOffline,130₹,187,6
Kerala,SultanBathery,AiswaryaAthulyaCineplexSulthanBathery,Malayalam,11:00,Recliner,250₹,9,0
Kerala,SultanBathery,AiswaryaAthulyaCineplexSulthanBathery,Malayalam,11:00,PlatinumClass,112₹,156,0
Kerala,Trivandrum,CarnivalGreenfieldCinemaKaryavattom,Malayalam,11:00,ExecutiveOffline,100₹,132,1
Kerala,Manjeri,CinePalaceSreeDeviCinePalaceDolbyAtmosManjeri,Malayalam,11:15,Screen1,150₹,282,49
Kerala,Malappuram,PadmamTheatreAC2KMalappuram,Malayalam,11:30,Platinum,110₹,254,20
Maharashtra,Mumbai,CinepolisSeawoodsLT,Malayalam,11:30,Vip,420₹,14,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Malayalam,11:30,Premium,220₹,40,6
Maharashtra,Mumbai,CinepolisSeawoodsLT,Malayalam,11:30,Executive,200₹,57,5
Maharashtra,Mumbai,CinepolisSeawoodsLT,Malayalam,11:30,Normal,180₹,19,0
Kerala,Thalassery,LibertyParadiseComplexThalassery,Malayalam,11:30,ParadiseClass,125₹,359,236
Kerala,Manjeri,LadderCinemasManjeri,Malayalam,11:30,Executive,150₹,126,6
Kerala,Mukkam,RoseCinePalaceMukkam,Malayalam,11:30,Executive,110₹,350,34
Kerala,Koottanad,SapthaTharangScreen22KAtmosKannichirakkalMall,Malayalam,11:30,Executive,220₹,17,0
Kerala,Koottanad,SapthaTharangScreen22KAtmosKannichirakkalMall,Malayalam,11:30,Platinum,110₹,252,72
Kerala,Chalakudy,DCinemaasChalakudy,Malayalam,12:00,Platinum,270₹,12,0
Kerala,Chalakudy,DCinemaasChalakudy,Malayalam,12:00,Gold,129₹,405,15
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,12:30,Recliner,250₹,14,0
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,12:30,ClassicPlus,140₹,115,19
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,12:30,Classic,110₹,53,0
Kerala,Thalayolaparambu,CarnivalThalayolaparambu,Malayalam,12:30,Gold,110₹,204,4
Kerala,Kochi,CinepolisCentreSquareMallKochi,Malayalam,12:30,Premium,190₹,98,14
Kerala,Kochi,CinepolisCentreSquareMallKochi,Malayalam,12:30,Executive,160₹,42,0
Kerala,Kochi,CinepolisCentreSquareMallKochi,Malayalam,12:30,Normal,140₹,29,0
Kerala,Kunnamkulam,RhCinemaKunnamkulam,Malayalam,12:45,Platinum,130₹,241,0
Kerala,Kodungallur,CarnivalMughalMallStarNagar,Malayalam,13:00,ExecutiveOffline,140₹,166,31
Kerala,Perinthalmanna,VismayaCinemasPerinthalmanna,Malayalam,13:00,Platinum,100₹,230,22
Karnataka,Bangalore,CinepolisOrionEastMall,Malayalam,13:00,Premium,180₹,59,22
Karnataka,Bangalore,CinepolisOrionEastMall,Malayalam,13:00,Executive,160₹,94,4
Karnataka,Bangalore,CinepolisOrionEastMall,Malayalam,13:00,Normal,140₹,34,0
Kerala,Kariyad,CarnivalCinemasKariyad,Malayalam,13:00,GoldLounge,190₹,32,0
Kerala,Kariyad,CarnivalCinemasKariyad,Malayalam,13:00,ExecutiveOffline,110₹,96,2
Kerala,Kochi,PvrLuluKochi,Malayalam,13:05,Recliner,300₹,10,4
Kerala,Kochi,PvrLuluKochi,Malayalam,13:05,Prime,160₹,108,34
Kerala,Kochi,PvrLuluKochi,Malayalam,13:05,ClassicPlus,140₹,138,4
Kerala,Kochi,PvrLuluKochi,Malayalam,13:05,Classic,110₹,69,2
Karnataka,Mangalore,CinepolisCityCentreMall,Malayalam,13:05,Normal,150₹,32,0
Karnataka,Mangalore,CinepolisCityCentreMall,Malayalam,13:05,Premium,150₹,64,17
