State,City,Name,Language,Time,Type,Price,Capacity,Booked
AndhraPradesh,Anantapur,GowriCinemaAnantapur,Telugu,06:00,Platinum,148₹,472,447
AndhraPradesh,Anantapur,GowriCinemaAnantapur,Telugu,06:00,Gold,112₹,170,73
AndhraPradesh,Visakhapatnam,Jagadamba4KVizag,Telugu,08:30,PremiumClass,145₹,586,586
AndhraPradesh,Visakhapatnam,Jagadamba4KVizag,Telugu,08:30,NonPremiumClass,100₹,430,430
AndhraPradesh,Vijayawada,CapitalCinemasTrendsetmall,Telugu,09:00,Gold,295₹,26,18
AndhraPradesh,Vijayawada,CapitalCinemasTrendsetmall,Telugu,09:00,Executive,177₹,377,14
AndhraPradesh,Vijayawada,CinepolisPowerOneMall,Telugu,09:00,Normal,147₹,34,0
AndhraPradesh,Vijayawada,CinepolisPowerOneMall,Telugu,09:00,Premium,147₹,176,51
AndhraPradesh,Vijayawada,CinepolisPowerOneMall,Telugu,09:00,Executive,147₹,73,0
AndhraPradesh,Vijayawada,CinepolisPvpSquare,Telugu,09:00,Vip,295₹,10,4
AndhraPradesh,Vijayawada,CinepolisPvpSquare,Telugu,09:00,Normal,177₹,245,40
Goa,Goa,InoxOsiaGWingMargao,Telugu,09:00,Royale,140₹,57,0
Goa,Goa,InoxOsiaGWingMargao,Telugu,09:00,Club,130₹,131,0
Goa,Goa,InoxOsiaGWingMargao,Telugu,09:00,Executive,130₹,28,0
AndhraPradesh,Visakhapatnam,InoxVarunBeachBeachRoad,Telugu,09:05,Royal,295₹,11,11
AndhraPradesh,Visakhapatnam,InoxVarunBeachBeachRoad,Telugu,09:05,Excutive,177₹,261,120
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Telugu,09:25,Recliner,280₹,26,5
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Telugu,09:25,Prime,180₹,95,9
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Telugu,09:25,Classic,170₹,144,0
Karnataka,Bangalore,InoxShreeGarudaSwagathMallJayanagar,Telugu,09:25,Club,170₹,86,2
Karnataka,Bangalore,InoxShreeGarudaSwagathMallJayanagar,Telugu,09:25,Executive,160₹,176,0
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Telugu,09:25,Recliner,280₹,26,7
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Telugu,09:25,Prime,180₹,95,14
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Telugu,09:25,Classic,170₹,144,0
Karnataka,Bangalore,InoxCentralMantriJunctionJpNagar,Telugu,09:30,Royal,290₹,4,0
Karnataka,Bangalore,InoxCentralMantriJunctionJpNagar,Telugu,09:30,Club,180₹,234,5
Karnataka,Bangalore,InoxGarudaYelahankaBangalore,Telugu,09:35,Club,170₹,111,3
Karnataka,Bangalore,InoxGarudaYelahankaBangalore,Telugu,09:35,Executive,160₹,72,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Telugu,09:40,Vip,350₹,14,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Telugu,09:40,Normal,180₹,48,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Telugu,09:40,Premium,180₹,66,7
Karnataka,Bangalore,CinepolisSjrSpectrum,Telugu,09:40,Executive,180₹,89,0
Karnataka,Bangalore,PvrForumMallKoramangala,Telugu,09:40,Recliner,300₹,16,8
Karnataka,Bangalore,PvrForumMallKoramangala,Telugu,09:40,Lounger,190₹,12,2
Karnataka,Bangalore,PvrForumMallKoramangala,Telugu,09:40,Classic,180₹,202,24
Karnataka,Bangalore,InoxForumNeighbourhoodMallWhiteField,Telugu,09:40,Silver,180₹,86,5
Karnataka,Bangalore,InoxForumNeighbourhoodMallWhiteField,Telugu,09:40,Premiere,170₹,100,0
Karnataka,Bangalore,PvrForumMallKoramangala,Telugu,09:40,Recliner,300₹,16,8
Karnataka,Bangalore,PvrForumMallKoramangala,Telugu,09:40,Lounger,190₹,12,2
Karnataka,Bangalore,PvrForumMallKoramangala,Telugu,09:40,Classic,180₹,202,30
Telangana,Hyderabad,PlatinumCinemasGachibowli,Telugu,09:45,PlatinumPremiumRecliner,300₹,15,15
Telangana,Hyderabad,PlatinumCinemasGachibowli,Telugu,09:45,PlatinumRecliners,300₹,24,14
Karnataka,Bangalore,InoxBrookefieldMallKundalahalli,Telugu,09:50,Club,210₹,20,10
Karnataka,Bangalore,InoxBrookefieldMallKundalahalli,Telugu,09:50,Executive,200₹,88,2
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Telugu,09:55,Recliner,280₹,33,18
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Telugu,09:55,Prime,150₹,104,8
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Telugu,09:55,Classic,112₹,220,25
Telangana,Hyderabad,InoxGsmMallHyderabad,Telugu,10:00,Royal,300₹,9,9
Telangana,Hyderabad,InoxGsmMallHyderabad,Telugu,10:00,Executive,200₹,186,47
Karnataka,Bangalore,PrithviTheatreNagavaraBangalore,Telugu,10:00,Balcony,150₹,178,131
Karnataka,Bangalore,PrithviTheatreNagavaraBangalore,Telugu,10:00,Second,120₹,576,522
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Telugu,10:00,Recliner,250₹,14,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Telugu,10:00,Prime,140₹,40,2
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Telugu,10:00,Classic,112₹,105,0
Karnataka,Bangalore,InoxLidoMallUlsoor,Telugu,10:00,Gold,290₹,14,2
Karnataka,Bangalore,InoxLidoMallUlsoor,Telugu,10:00,Premiere,170₹,134,3
Karnataka,Davanagere,MovietimeSsGardeniaMallDavanagere,Telugu,10:00,Gold,180₹,79,0
Karnataka,Davanagere,MovietimeSsGardeniaMallDavanagere,Telugu,10:00,Premier,150₹,180,0
Karnataka,Mangalore,CinepolisCityCentreMall,Telugu,10:00,Normal,180₹,28,0
Karnataka,Mangalore,CinepolisCityCentreMall,Telugu,10:00,Premium,180₹,58,0
