State,City,Name,Language,Time,Type,Price,Capacity,Booked
Assam,Guwahati,CinepolisCentralMall,English,09:35,Vip,350₹,8,0
Assam,Guwahati,CinepolisCentralMall,English,09:35,Premium,200₹,41,0
Assam,Guwahati,CinepolisCentralMall,English,09:35,Executive,180₹,124,0
Assam,Guwahati,CinepolisCentralMall,English,09:35,Normal,160₹,26,0
Maharashtra,Mumbai,PvrIconInfinitiGoldAndheriW,English,09:45,Luxe,400₹,51,0
Maharashtra,Mumbai,PvrIconInfinitiGoldAndheriW,English,09:45,LuxeSuperior,400₹,33,15
Haryana,Gurgaon,PvrAmbienceGurgaon,English,10:20,Prime,200₹,38,0
Haryana,Gurgaon,PvrAmbienceGurgaon,English,10:20,ClassicNormal,150₹,84,0
Maharashtra,Mumbai,InoxAtriaMallWorli,English,10:30,Insignia,400₹,27,4
Maharashtra,Mumbai,PvrDynamicJuhu,English,11:00,Prime,210₹,72,13
Maharashtra,Mumbai,PvrDynamicJuhu,English,11:00,Classic,180₹,40,0
Haryana,Gurgaon,PvrMegaMallGurgaon,English,11:05,Prime,200₹,51,19
Haryana,Gurgaon,PvrMegaMallGurgaon,English,11:05,Classic,150₹,39,0
Maharashtra,Pune,PvrMarketCityGoldVimanNagar,English,11:15,GoldPrime,500₹,22,3
Maharashtra,Pune,PvrMarketCityGoldVimanNagar,English,11:15,GoldClassic,450₹,24,8
Maharashtra,Mumbai,InoxMegaplexInorbitMall,English,11:45,Kiddles,150₹,53,4
Delhi,DelhiNcr,PvrSelectCityWalkSaket,English,12:10,DboxRecliner,800₹,8,7
Delhi,DelhiNcr,PvrSelectCityWalkSaket,English,12:10,Prime,250₹,47,20
Delhi,DelhiNcr,PvrSelectCityWalkSaket,English,12:10,ClassicNormal,200₹,96,0
Odisha,Bhubaneswar,InoxDnRegaliaMallPatrapada,English,12:30,Club,150₹,50,0
Odisha,Bhubaneswar,InoxDnRegaliaMallPatrapada,English,12:30,Executive,150₹,20,0
Odisha,Bhubaneswar,InoxDnRegaliaMallPatrapada,English,12:30,Royal,150₹,59,2
MadhyaPradesh,Bhopal,CinepolisAashimaMall,English,12:35,Premium,130₹,22,0
