City,Name,Language,Time,Type,Price,Capacity,Booked
Gurgaon,CinepolisAiriaMall,English,09:35,Normal,150₹,22,0
Gurgaon,CinepolisAiriaMall,English,09:35,Lounger,150₹,8,0
Gurgaon,CinepolisAiriaMall,English,09:35,DoubleSofa,150₹,24,0
Bangalore,CinepolisForumShantiniketan,English,10:00,Normal,250₹,96,13
Vadodara,CinepolisInorbitMall,English,11:00,Normal,140₹,24,0
Vadodara,CinepolisInorbitMall,English,11:00,Premium,140₹,29,0
Vadodara,CinepolisInorbitMall,English,11:00,Executive,140₹,81,2
Kolkata,InoxQuestMallBallygunge,English,11:15,RoyalRecliner,280₹,12,2
Kolkata,InoxQuestMallBallygunge,English,11:15,Club,160₹,172,5
Kolkata,InoxQuestMallBallygunge,English,11:15,Executive,160₹,40,0
Kolkata,InoxQuestMallBallygunge,English,11:15,Royal,160₹,62,19
Hyderabad,PvrPlayHouseNextGalleriaMallPanjagutt,English,11:25,Classic,200₹,54,18
Mumbai,PvrCitiMallAndheriW,English,11:30,Recliner,185₹,24,0
Mumbai,PvrCitiMallAndheriW,English,11:30,Classic,100₹,46,0
Mumbai,PvrCitiMallAndheriW,English,11:30,Prime,100₹,146,24
Bangalore,InoxGarudaMallMagrathRoad,English,12:00,RoyaleRecliners,220₹,9,8
Bangalore,InoxGarudaMallMagrathRoad,English,12:00,Club,140₹,60,20
Bangalore,InoxGarudaMallMagrathRoad,English,12:00,Executive,130₹,90,0
Mumbai,InoxLaserplexCr2NarimanPoint,English,12:05,Royale,210₹,100,4
Mumbai,InoxLaserplexCr2NarimanPoint,English,12:05,Club,190₹,128,2
Gandhinagar,CityPulseCinemasVillageKudasan,English,12:15,ClubRoyal,250₹,10,0
Gandhinagar,CityPulseCinemasVillageKudasan,English,12:15,Premiere,200₹,10,0
Surat,PvrRahulRaj4DxDumasRoad,Hindi,12:15,4DxPrime,360₹,60,8
Surat,PvrRahulRaj4DxDumasRoad,Hindi,12:15,4DxClassic,340₹,24,0
Mumbai,InoxMegaplexInorbitMall,English,12:15,Club,280₹,16,0
Mumbai,InoxMegaplexInorbitMall,English,12:15,Royal,280₹,59,13
Mumbai,PvrIconOberoiGoregaonE,English,12:20,Recliner,260₹,34,6
Mumbai,PvrIconOberoiGoregaonE,English,12:20,Prime,140₹,156,10
Mumbai,PvrIconOberoiGoregaonE,English,12:20,Classic,110₹,47,2
Pune,PvrMarketCity4DxVimanNagar,English,12:30,4DxPrime,420₹,72,15
Pune,PvrMarketCity4DxVimanNagar,English,12:30,4DxClassic,380₹,48,0
Chennai,InoxTheMarinaMallOmr,English,12:30,Club,168₹,126,9
Chennai,InoxTheMarinaMallOmr,English,12:30,Executive,66₹,16,16
Coimbatore,InoxProzoneMallCoimbatore,English,12:35,Club,211₹,159,8
Coimbatore,InoxProzoneMallCoimbatore,English,12:35,Executive,66₹,21,6
