State,City,Name,Language,Time,Type,Price,Capacity,Booked
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,12:10,Royal,240₹,18,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,12:10,Premier,150₹,29,1
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,12:10,Silver,150₹,147,3
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,12:55,Prime,230₹,11,3
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,12:55,Classic,190₹,200,5
WestBengal,Kolkata,CinepolisLakeMall,Bengali,13:10,Vip,450₹,8,0
WestBengal,Kolkata,CinepolisLakeMall,Bengali,13:10,Premium,200₹,19,6
WestBengal,Kolkata,CinepolisLakeMall,Bengali,13:10,Executive,180₹,165,20
WestBengal,Kolkata,CinepolisLakeMall,Bengali,13:10,Normal,160₹,38,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,13:40,Recliner,420₹,14,4
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,13:40,Prime,250₹,12,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,13:40,Classic,200₹,154,2
WestBengal,Kolkata,InoxSouthCityMall,Bengali,14:20,Rr,450₹,16,5
WestBengal,Kolkata,InoxSouthCityMall,Bengali,14:20,Silver,290₹,151,8
WestBengal,Kolkata,InoxSouthCityMall,Bengali,14:20,Premier,270₹,32,0
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,15:45,Premium,240₹,20,5
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,15:45,Executive,220₹,64,2
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,15:45,Normal,200₹,22,0
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,16:45,Royale,400₹,9,5
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,16:45,Club,220₹,232,4
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,16:45,Executive,200₹,51,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,16:45,Royal,400₹,20,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,16:45,Silver,220₹,198,9
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,16:45,Premier,200₹,55,1
WestBengal,Kolkata,InoxSouthCityMall,Bengali,17:00,Rr,450₹,16,2
WestBengal,Kolkata,InoxSouthCityMall,Bengali,17:00,Silver,290₹,151,19
WestBengal,Kolkata,InoxSouthCityMall,Bengali,17:00,Premier,270₹,32,0
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,17:10,Royale,280₹,31,4
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,17:10,DressCircle,240₹,158,7
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,17:10,Galleria,200₹,36,0
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,17:15,Royal,200₹,63,7
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,17:15,Club,180₹,95,0
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,17:15,Executive,160₹,30,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,19:15,Recliner,430₹,14,4
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,19:15,Prime,260₹,12,2
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,19:15,Classic,220₹,176,9
