State,City,Name,Language,Time,Type,Price,Capacity,Booked
WestBengal,Malda,TpmcCinemaMalda,EnglishMX4D,09:00,Corporate,20₹,307,69
WestBengal,Malda,TpmcCinemaMalda,EnglishIMAX,11:30,Executive,1₹,222,143
WestBengal,Malda,TpmcCinemaMalda,EnglishIMAX,11:30,Corporate,1₹,538,100
WestBengal,Malda,TpmcCinemaMalda,EnglishIMAX,11:30,Budget,1₹,95,32
WestBengal,Malda,TpmcCinemaMalda,English4DX,15:00,Executive,1₹,222,143
WestBengal,Malda,TpmcCinemaMalda,English4DX,15:00,Corporate,1₹,538,100
WestBengal,Malda,TpmcCinemaMalda,English4DX,15:00,Budget,1₹,95,32
WestBengal,Malda,TpmcCinemaMalda,EnglishIMAX,15:00,Corporate,20₹,307,69
WestBengal,Malda,TpmcCinemaMalda,English,18:30,Executive,1₹,222,143
WestBengal,Malda,TpmcCinemaMalda,English,18:30,Corporate,1₹,538,100
WestBengal,Malda,TpmcCinemaMalda,English,18:30,Budget,1₹,95,32
WestBengal,Malda,TpmcCinemaMalda,English4DX,18:30,Corporate,20₹,307,69
WestBengal,Malda,TpmcCinemaMalda,EnglishDBOX,22:00,Executive,1₹,222,143
WestBengal,Malda,TpmcCinemaMalda,EnglishDBOX,22:00,Corporate,1₹,538,100
WestBengal,Malda,TpmcCinemaMalda,EnglishDBOX,22:00,Budget,1₹,95,32
WestBengal,Malda,TpmcCinemaMalda,EnglishDBOX,22:00,Corporate,20₹,307,69
