City,Name,Language,Time,Type,Price,Capacity,Booked
DelhiNcr,PvrSelectCityWalkSaket,Hindi,09:05,ReclinersNormal,400₹,9,4
DelhiNcr,PvrSelectCityWalkSaket,Hindi,09:05,ClassicSuperior,200₹,47,8
DelhiNcr,PvrSelectCityWalkSaket,Hindi,09:05,ClassicNormal,200₹,96,0
Surat,InoxVrSuratDumasRoad,Hindi,09:05,RoyalRecliner,212₹,12,2
Surat,InoxVrSuratDumasRoad,Hindi,09:05,Royal,129₹,54,0
Surat,InoxVrSuratDumasRoad,Hindi,09:05,Club,106₹,102,0
Surat,InoxVrSuratDumasRoad,Hindi,09:05,Executive,106₹,34,0
Kolkata,InoxSwabhumiMaulanaAzadSarani,Hindi,11:20,Royal,140₹,16,6
Kolkata,InoxSwabhumiMaulanaAzadSarani,Hindi,11:20,Club,112₹,134,5
Kolkata,InoxSwabhumiMaulanaAzadSarani,Hindi,11:20,Executive,112₹,32,0
Bangalore,PvrOrionMallDrRajkumarRoad,Hindi,11:20,Recliner,203₹,17,10
Bangalore,PvrOrionMallDrRajkumarRoad,Hindi,11:20,Prime,138₹,80,20
Bangalore,PvrOrionMallDrRajkumarRoad,Hindi,11:20,Classic,106₹,128,3
Indore,InoxC21MallSheetalNagar,Hindi,11:35,Normal,104₹,163,8
PatnaCity,CinepolisPMMall,Hindi,12:05,Normal,230₹,168,9
Mumbai,InoxMegaplexInorbitMall,Hindi,12:15,Insignia,400₹,42,5
Gurgaon,PvrMgfMallGurgaon,Hindi,12:20,Recliner,461₹,8,0
Gurgaon,PvrMgfMallGurgaon,Hindi,12:20,Prime,323₹,39,1
Gurgaon,PvrMgfMallGurgaon,Hindi,12:20,Classic,277₹,72,2
Pune,CinepolisWestendMall,Hindi,12:30,Normal,250₹,25,0
Pune,CinepolisWestendMall,Hindi,12:30,Premium,250₹,49,18
Pune,CinepolisWestendMall,Hindi,12:30,Executive,250₹,69,7
Pune,CinepolisSeasonsMall,Hindi,12:55,Premium,200₹,40,7
Pune,CinepolisSeasonsMall,Hindi,12:55,Normal,180₹,23,0
Pune,CinepolisSeasonsMall,Hindi,12:55,Executive,180₹,52,3
Mumbai,MetroInoxCinemaMGRoad,Hindi,13:45,Club,220₹,129,5
Mumbai,MetroInoxCinemaMGRoad,Hindi,13:45,Royale,220₹,81,13
Mumbai,MetroInoxCinemaMGRoad,Hindi,13:45,Executive,200₹,30,0
Pune,InoxAmanoraMallHadapsar,Hindi,14:30,Royale,420₹,46,3
Bangalore,PvrForumMallKoramangala,Hindi,15:00,Recliner,277₹,12,12
Bangalore,PvrForumMallKoramangala,Hindi,15:00,Classic,147₹,166,29
Bangalore,PvrOrionMallDrRajkumarRoad,Hindi,15:00,Recliner,230₹,13,11
Bangalore,PvrOrionMallDrRajkumarRoad,Hindi,15:00,Prime,157₹,80,36
Bangalore,PvrOrionMallDrRajkumarRoad,Hindi,15:00,Classic,138₹,128,12
Mumbai,InoxRCityGhatkoparW,Hindi,15:00,Insignia,330₹,42,4
Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,15:00,Insignia,330₹,42,2
Mumbai,PvrCitiMallAndheriW,Hindi,15:00,Recliner,295₹,24,2
Mumbai,PvrCitiMallAndheriW,Hindi,15:00,Prime,140₹,146,28
Mumbai,PvrCitiMallAndheriW,Hindi,15:00,Classic,105₹,46,0
Gurgaon,PvrAmbienceGurgaon,Hindi,15:55,Prime,277₹,62,13
Gurgaon,PvrAmbienceGurgaon,Hindi,15:55,ClassicNormal,230₹,105,0
Mumbai,CinepolisVivianaMall,Hindi,16:30,Normal,170₹,25,0
Mumbai,CinepolisVivianaMall,Hindi,16:30,Premium,170₹,43,28
Mumbai,CinepolisVivianaMall,Hindi,16:30,Executive,170₹,97,9
DelhiNcr,PvrPromenadeVasantKunj,Hindi,16:40,Prime,390₹,21,6
DelhiNcr,PvrPromenadeVasantKunj,Hindi,16:40,Classic,360₹,84,0
DelhiNcr,PvrPromenadeVasantKunj,Hindi,16:40,Prime,390₹,21,6
DelhiNcr,PvrPromenadeVasantKunj,Hindi,16:40,Classic,360₹,84,0
DelhiNcr,PvrPromenadeVasantKunj,Hindi,16:40,Prime,390₹,33,16
DelhiNcr,PvrPromenadeVasantKunj,Hindi,16:40,Classic,360₹,96,15
Noida,PvrLogixCityCentreNoida,Hindi,17:05,Classic,265₹,89,12
Bhubaneswar,CinepolisEsplanade,Hindi,17:40,Vip,500₹,11,3
Bhubaneswar,CinepolisEsplanade,Hindi,17:40,Premium,220₹,45,7
Bhubaneswar,CinepolisEsplanade,Hindi,17:40,Executive,200₹,51,3
Bhubaneswar,CinepolisEsplanade,Hindi,17:40,Normal,180₹,24,0
Mumbai,MetroInoxCinemaMGRoad,Hindi,18:15,Insignia,700₹,42,2
Bangalore,PvrVegaBannerghattaRoad,Hindi,18:20,Classic,157₹,107,37
Chandigarh,PvrElanteMallChandigarh,Hindi,18:30,Recliner,468₹,13,3
Chandigarh,PvrElanteMallChandigarh,Hindi,18:30,Classic,152₹,138,24
Indore,InoxC21MallSheetalNagar,Hindi,18:35,Normal,138₹,163,9
Noida,CarnivalTgipNoida,Hindi,19:00,Recliner,580₹,16,0
Noida,CarnivalTgipNoida,Hindi,19:00,Sofa,380₹,66,2
Mumbai,MovietimeHubMallGoregaonE,Hindi,19:40,Mhraja,130₹,44,37
Mumbai,InoxMegaplexInorbitMall,Hindi,20:45,Insignia,550₹,38,21
