State,City,Name,Language,Time,Type,Price,Capacity,Booked
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,11:50,Club,152₹,135,34
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,11:50,Executive,60₹,19,12
Kerala,Angadipuram,PvrGrandGaladaPallavaram,Tamil,11:55,Prime,165₹,118,22
Kerala,Angadipuram,PvrGrandGaladaPallavaram,Tamil,11:55,Classic,60₹,28,28
TamilNadu,Coimbatore,FunCinemaRepublicMall,Tamil,12:40,Executive,152₹,196,43
TamilNadu,Coimbatore,FunCinemaRepublicMall,Tamil,12:40,Normal,60₹,22,22
TamilNadu,Coimbatore,FunCinemaRepublicMall,Tamil,12:40,Executive,152₹,196,49
TamilNadu,Coimbatore,FunCinemaRepublicMall,Tamil,12:40,Normal,60₹,22,22
Kerala,Angadipuram,PvrHeritageRslEcrChennai,Tamil,15:25,Prime,190₹,99,21
Kerala,Angadipuram,PvrHeritageRslEcrChennai,Tamil,15:25,Classic,60₹,11,11
Kerala,Angadipuram,PvrHeritageRslEcrChennai,Tamil,15:25,Prime,190₹,99,35
Kerala,Angadipuram,PvrHeritageRslEcrChennai,Tamil,15:25,Classic,60₹,11,11
Kerala,Angadipuram,CinepolisBsrMall,Tamil,16:00,Executive,152₹,118,23
Kerala,Angadipuram,CinepolisBsrMall,Tamil,16:00,Normal,60₹,16,16
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,18:20,Club,152₹,134,34
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,18:20,Executive,60₹,22,10
TamilNadu,Madurai,InoxVishaalDeMalMadurai,Tamil,18:20,Club,178₹,124,0
TamilNadu,Madurai,InoxVishaalDeMalMadurai,Tamil,18:20,Executive,60₹,12,12
Kerala,Angadipuram,PvrAmpaSkywalkMallAminjikarai,Tamil,18:35,Prime,165₹,163,56
Kerala,Angadipuram,PvrAmpaSkywalkMallAminjikarai,Tamil,18:35,Classic,60₹,32,32
Kerala,Angadipuram,InoxTheMarinaMallOmr,Tamil,18:40,Club,190₹,180,30
Kerala,Angadipuram,InoxTheMarinaMallOmr,Tamil,18:40,Executive,60₹,24,24
Kerala,Angadipuram,Devicineplex,Tamil,19:15,Quartz,152₹,242,6
Kerala,Angadipuram,Devicineplex,Tamil,19:15,Zircon,60₹,27,27
TamilNadu,Chennai,MuruganCinemas4KDolbyAtmosAmbattur,Tamil,19:59,Diamond,110₹,80,17
Kerala,Angadipuram,PvrHeritageRslEcrChennai,Tamil,22:10,Prime,190₹,99,13
Kerala,Angadipuram,PvrHeritageRslEcrChennai,Tamil,22:10,Classic,60₹,11,11
Kerala,Angadipuram,PvrHeritageRslEcrChennai,Tamil,22:10,Prime,190₹,99,56
Kerala,Angadipuram,PvrHeritageRslEcrChennai,Tamil,22:10,Classic,60₹,11,11
Kerala,Angadipuram,Devicineplex,Tamil,22:30,Quartz,152₹,242,5
Kerala,Angadipuram,Devicineplex,Tamil,22:30,Zircon,60₹,27,27
Kerala,Angadipuram,CinepolisBsrMall,Tamil,22:45,Executive,152₹,153,76
Kerala,Angadipuram,CinepolisBsrMall,Tamil,22:45,Normal,60₹,16,15
