City,Name,Language,Time,Type,Price,Capacity,Booked
Ahmedabad,TimeCinemaAhmedabadCgSquareMall,English,09:00,Standard,180₹,108,8
Mumbai,InoxAtriaMallWorli,English,10:00,Insignia,330₹,26,0
Gurgaon,PvrAmbienceGoldGurgaon,English,11:05,Platinum,500₹,28,0
Gurgaon,PvrAmbienceGoldGurgaon,English,11:05,PlatinumSuperior,500₹,8,0
Mumbai,InoxMegaplexInorbitMall,English,13:20,Club,280₹,16,0
Mumbai,InoxMegaplexInorbitMall,English,13:20,Royal,280₹,59,4
DelhiNcr,PvrDirectorsCutAmbienceVasantKunj,English,14:05,Platinum,600₹,19,5
DelhiNcr,PvrDirectorsCutAmbienceVasantKunj,English,14:05,PlatinumSuperior,600₹,6,6
Hyderabad,Pvr4DxIrrumManzilHyderabad,English,14:15,4Dx,350₹,96,14
Hyderabad,Pvr4DxKukatpallyHyderabad,English,16:20,4DxClassic,350₹,108,44
