City,Name,Language,Time,Type,Price,Capacity,Booked
Mumbai,MaxusCinemasBorivaliW,English,08:45,Couple,199₹,100,0
Mumbai,MaxusCinemasBorivaliW,English,08:45,Recliner,199₹,100,0
Indore,PvrTreasureIslandMallSouthTukoganj,English,09:00,Classic,110₹,38,0
Indore,PvrTreasureIslandMallSouthTukoganj,English,09:00,Prime,110₹,110,27
Surat,PvrRahulRaj4DxDumasRoad,English,09:00,4DxPrime,340₹,60,8
Surat,PvrRahulRaj4DxDumasRoad,English,09:00,4DxClassic,320₹,24,0
Kolkata,InoxCityCentreSaltlake,English,09:00,DressCircle,112₹,190,0
Kolkata,InoxCityCentreSaltlake,English,09:00,Galleria,112₹,76,0
Kolkata,InoxCityCentreSaltlake,English,09:00,Royale,112₹,38,0
Pune,InoxDorabjeesRoyaleHeritageMall,English,09:00,RoyaleRecliners,190₹,14,0
Pune,InoxDorabjeesRoyaleHeritageMall,English,09:00,Club,112₹,33,0
Pune,InoxDorabjeesRoyaleHeritageMall,English,09:00,Executive,112₹,22,0
Pune,InoxDorabjeesRoyaleHeritageMall,English,09:00,Royale,112₹,40,0
Mumbai,CinepolisAndheri,English,09:00,Platinum,170₹,22,0
Mumbai,CinepolisAndheri,English,09:00,Premium,100₹,33,0
Mumbai,CinepolisAndheri,English,09:00,Executive,100₹,95,0
Mumbai,CinepolisAndheri,English,09:00,Normal,80₹,32,0
Mumbai,PvrCitiMallAndheriW,English,09:00,Recliner,185₹,24,24
Mumbai,PvrCitiMallAndheriW,English,09:00,Classic,100₹,46,46
Mumbai,PvrCitiMallAndheriW,English,09:00,Prime,100₹,146,146
Mumbai,PvrXperiaPalavaDombivaliE,English,09:00,Recliner,190₹,12,1
Mumbai,PvrXperiaPalavaDombivaliE,English,09:00,Prime,110₹,108,0
Mumbai,PvrXperiaPalavaDombivaliE,English,09:00,Classic,100₹,36,0
Thane,InoxKorumMallThaneW,English,09:00,Royal,150₹,18,0
Thane,InoxKorumMallThaneW,English,09:00,Club,90₹,198,2
Thane,InoxKorumMallThaneW,English,09:00,Executive,90₹,51,0
Surat,InoxVrSuratDumasRoad,English,09:05,RoyalRecliner,230₹,12,2
Surat,InoxVrSuratDumasRoad,English,09:05,Club,140₹,159,0
