State,City,Name,Language,Time,Type,Price,Capacity,Booked
Karnataka,Bangalore,PvrForumMallKoramangala,Tamil,09:20,Recliner,300₹,12,0
Karnataka,Bangalore,PvrForumMallKoramangala,Tamil,09:20,Classic,180₹,147,0
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Tamil,09:30,Recliner,280₹,12,4
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Tamil,09:30,Classic,170₹,135,6
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Tamil,09:50,Premium,220₹,45,10
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Tamil,09:50,Executive,200₹,88,5
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Tamil,09:50,Normal,180₹,32,0
Karnataka,Bangalore,PvrForumMallKoramangala,Tamil,09:50,Lounger,190₹,11,2
Karnataka,Bangalore,PvrForumMallKoramangala,Tamil,09:50,Classic,180₹,161,28
Karnataka,Bangalore,PvrVrWhitefieldRoad,Tamil,09:50,Recliner,280₹,16,0
Karnataka,Bangalore,PvrVrWhitefieldRoad,Tamil,09:50,Classic,170₹,153,2
Kerala,Angadipuram,Idreams,Tamil,10:00,Premium,140₹,175,49
Kerala,Angadipuram,Idreams,Tamil,10:00,FirstClass,130₹,259,2
Kerala,Angadipuram,Idreams,Tamil,10:00,SecondClass,100₹,107,2
Kerala,Angadipuram,Idreams,Tamil,10:00,ThirdClass,50₹,41,0
Karnataka,Bangalore,FunCinemaSigmaMall,Tamil,10:00,Executive,140₹,134,0
Karnataka,Bangalore,FunCinemaSigmaMall,Tamil,10:00,Normal,120₹,56,0
Maharashtra,Mumbai,PvrCityOneMallPimpri,Tamil,10:00,Classic,90₹,33,0
Maharashtra,Mumbai,PvrCityOneMallPimpri,Tamil,10:00,Prime,90₹,127,3
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,Tamil,10:00,Recliner,250₹,34,0
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,Tamil,10:00,Prime,120₹,147,20
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,Tamil,10:00,Classic,110₹,45,0
Maharashtra,Mumbai,PvrMarketCityKurlaW,Tamil,10:00,Prime,170₹,117,23
Maharashtra,Mumbai,PvrMarketCityKurlaW,Tamil,10:00,Classic,150₹,90,0
Karnataka,Bangalore,FunCinemaSigmaMall,Tamil,10:00,Executive,140₹,134,3
