State,City,Name,Language,Time,Type,Price,Capacity,Booked
Kerala,Angadipuram,RakkiCinemasRgbLaser4KDolbyAtmosAmbattur,Tamil,08:01,Premium2,150₹,107,14
Kerala,Angadipuram,RakkiCinemasRgbLaser4KDolbyAtmosAmbattur,Tamil,08:01,Premium1,150₹,143,20
Kerala,Angadipuram,RakkiCinemasRgbLaser4KDolbyAtmosAmbattur,Tamil,08:01,Executive,110₹,413,48
Kerala,Angadipuram,LathaaCinemasACAtmos2K3DChengalpattu,Tamil,08:10,Boxa,150₹,15,15
Kerala,Angadipuram,LathaaCinemasACAtmos2K3DChengalpattu,Tamil,08:10,Boxb,150₹,15,15
Kerala,Angadipuram,LathaaCinemasACAtmos2K3DChengalpattu,Tamil,08:10,First,120₹,381,143
Kerala,Angadipuram,KamalaCinemas,Tamil,08:15,Lounge1,152₹,21,4
Kerala,Angadipuram,KamalaCinemas,Tamil,08:15,Lounge2,152₹,21,5
Kerala,Angadipuram,KamalaCinemas,Tamil,08:15,CoupleSeat,152₹,8,8
Kerala,Angadipuram,KamalaCinemas,Tamil,08:15,Elite,118₹,512,153
Kerala,Angadipuram,KamalaCinemas,Tamil,08:15,Premium,60₹,38,5
Kerala,Angadipuram,VelaCinemas2K3DThiruninravur,Tamil,08:30,Balcony,120₹,116,4
Kerala,Angadipuram,VelaCinemas2K3DThiruninravur,Tamil,08:30,FirstClass,100₹,312,12
TamilNadu,Chidambaram,LenaCinemas4KDolbyAtmosRgbLaser,Tamil,08:30,BoxAa,190₹,18,1
TamilNadu,Chidambaram,LenaCinemas4KDolbyAtmosRgbLaser,Tamil,08:30,BoxBb,190₹,18,3
TamilNadu,Chidambaram,LenaCinemas4KDolbyAtmosRgbLaser,Tamil,08:30,Elite,150₹,484,82
Kerala,Angadipuram,PvrAmpaSkywalkMallAminjikarai,Tamil,08:30,Prime,190₹,219,36
Kerala,Angadipuram,PvrAmpaSkywalkMallAminjikarai,Tamil,08:30,Classic,60₹,32,32
Kerala,Angadipuram,InoxTheMarinaMallOmr,Tamil,08:40,Club,190₹,195,102
Kerala,Angadipuram,InoxTheMarinaMallOmr,Tamil,08:40,Executive,60₹,24,24
Kerala,Angadipuram,InoxChandraMetroMallVirugambakkam,Tamil,08:45,Silver,190₹,120,26
Kerala,Angadipuram,InoxChandraMetroMallVirugambakkam,Tamil,08:45,Premiere,60₹,15,12
TamilNadu,Madurai,InoxVishaalDeMalMadurai,Tamil,08:45,Club,190₹,283,22
TamilNadu,Madurai,InoxVishaalDeMalMadurai,Tamil,08:45,Executive,60₹,20,20
Pondicherry,Pondicherry,ShanmugaCinemasRgbLaserDolbyAtmos,Tamil,08:45,Platinum,100₹,229,74
Pondicherry,Pondicherry,ShanmugaCinemasRgbLaserDolbyAtmos,Tamil,08:45,Gold,75₹,32,0
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,08:55,Club,190₹,262,100
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,08:55,Executive,60₹,34,34
TamilNadu,Coimbatore,FunCinemaRepublicMall,Tamil,09:00,Executive,190₹,314,168
TamilNadu,Coimbatore,FunCinemaRepublicMall,Tamil,09:00,Normal,60₹,35,35
Kerala,Angadipuram,PvrGrandMallVelachery,Tamil,09:00,Prime,165₹,204,145
Kerala,Angadipuram,PvrGrandMallVelachery,Tamil,09:00,Classic,60₹,32,32
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Tamil,09:00,Recliner,400₹,14,2
