State,City,Name,Language,Time,Type,Price,Capacity,Booked
Rajasthan,Udaipur,InoxLakeCityMallAshokNagar,Hindi,09:15,Club,110₹,186,1
Rajasthan,Udaipur,InoxLakeCityMallAshokNagar,Hindi,09:15,Executive,110₹,29,0
Delhi,DelhiNcr,CinepolisSmartBharatMall,Hindi,09:30,Premium,170₹,76,0
Delhi,DelhiNcr,CinepolisSmartBharatMall,Hindi,09:30,Classic,170₹,171,0
Gujarat,Surat,InoxVrSuratDumasRoad,Hindi,09:45,RoyalRecliner,400₹,52,0
Rajasthan,Jaipur,CinepolisWorldTradePark,English,09:45,Premium,220₹,53,22
Rajasthan,Jaipur,CinepolisWorldTradePark,English,09:45,Executive,200₹,142,2
Rajasthan,Jaipur,CinepolisWorldTradePark,English,09:45,Normal,180₹,39,0
Chhattisgarh,Raipur,InoxCityMall36GERoad,Hindi,09:50,Club,110₹,32,0
Chhattisgarh,Raipur,InoxCityMall36GERoad,Hindi,09:50,Gold,110₹,192,1
Chhattisgarh,Raipur,InoxCityMall36GERoad,Hindi,09:50,Platinum,110₹,31,3
Gujarat,Ahmedabad,TimeCinemaAhmedabadCgSquareMall,English,09:55,Infinity1000,"1,000₹",12,0
Gujarat,Vadodara,PvrTransCubeVadodara,Hindi,10:00,Recliner,340₹,8,0
Gujarat,Vadodara,PvrTransCubeVadodara,Hindi,10:00,Classic,180₹,39,0
Gujarat,Vadodara,PvrTransCubeVadodara,Hindi,10:00,Prime,180₹,90,17
Haryana,Gurgaon,PvrAmbienceGurgaon,English,10:00,ClassicNormal,200₹,105,0
Haryana,Gurgaon,PvrAmbienceGurgaon,English,10:00,Prime,200₹,36,28
Maharashtra,Mumbai,InoxMegaplexInorbitMall,English,10:00,Insignia,370₹,42,11
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Hindi,10:00,Prime,230₹,166,47
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Hindi,10:00,Classic,200₹,56,3
Gujarat,Vadodara,CinepolisInorbitMall,English,10:00,Normal,180₹,24,0
Gujarat,Vadodara,CinepolisInorbitMall,English,10:00,Premium,180₹,26,2
Gujarat,Vadodara,CinepolisInorbitMall,English,10:00,Executive,180₹,112,5
UttarPradesh,Noida,PvrLogixCityCentreNoida,English,10:00,Classic,320₹,107,9
Gujarat,Ahmedabad,CinemaxShivAshramRoad,Hindi,10:00,Prime,140₹,64,14
UttarPradesh,Noida,PvrLogixCityCentreNoida,English,10:00,Classic,320₹,107,11
Maharashtra,Mumbai,CinepolisVivianaMall,English,10:00,Normal,190₹,27,0
Maharashtra,Mumbai,CinepolisVivianaMall,English,10:00,Premium,190₹,46,24
Maharashtra,Mumbai,CinepolisVivianaMall,English,10:00,Executive,190₹,104,3
Jharkhand,Dhanbad,InoxOzoneGalleriaMallDhanbad,Hindi,10:05,Executive,170₹,117,2
Jharkhand,Dhanbad,InoxOzoneGalleriaMallDhanbad,Hindi,10:05,Silver,170₹,73,0
Jharkhand,Dhanbad,InoxOzoneGalleriaMallDhanbad,Hindi,10:05,Premier,150₹,39,0
Assam,Guwahati,CinepolisCentralMall,English,10:15,Vip,150₹,4,2
Assam,Guwahati,CinepolisCentralMall,English,10:15,Normal,100₹,24,0
Assam,Guwahati,CinepolisCentralMall,English,10:15,Premium,100₹,42,3
Assam,Guwahati,CinepolisCentralMall,English,10:15,Executive,100₹,116,0
MadhyaPradesh,Indore,InoxC21MallSheetalNagar,Hindi,10:15,In,370₹,44,2
Karnataka,Bangalore,CinepolisSjrSpectrum,English,10:15,Vip,450₹,12,0
Karnataka,Bangalore,CinepolisSjrSpectrum,English,10:15,Normal,230₹,28,0
Karnataka,Bangalore,CinepolisSjrSpectrum,English,10:15,Premium,230₹,41,14
Karnataka,Bangalore,CinepolisSjrSpectrum,English,10:15,Executive,230₹,59,0
Chhattisgarh,Bhilai,MirajCinemasBhilai,Hindi,10:15,3DSpecial,140₹,39,0
Chhattisgarh,Bhilai,MirajCinemasBhilai,Hindi,10:15,3DExecutive,140₹,93,0
Chhattisgarh,Bhilai,MirajCinemasBhilai,Hindi,10:15,3DSpecial,140₹,39,0
Chhattisgarh,Bhilai,MirajCinemasBhilai,Hindi,10:15,3DExecutive,140₹,93,4
Maharashtra,Pune,CinepolisSeasonsMall,English,10:15,Normal,170₹,31,0
Maharashtra,Pune,CinepolisSeasonsMall,English,10:15,Premium,170₹,59,13
Maharashtra,Pune,CinepolisSeasonsMall,English,10:15,Executive,170₹,136,9
Rajasthan,Kota,InoxAhluwaliasGreatMallDhanmandi,Hindi,10:20,Club,150₹,93,0
Rajasthan,Kota,InoxAhluwaliasGreatMallDhanmandi,Hindi,10:20,Executive,150₹,45,0
Rajasthan,Kota,InoxAhluwaliasGreatMallDhanmandi,Hindi,10:20,Royale,150₹,37,0
Telangana,Hyderabad,PvrInorbitCyberabad,English,10:25,3DClassic,180₹,161,53
Maharashtra,Mumbai,PvrDynamicJuhu,English,10:30,Prime,200₹,72,23
Maharashtra,Mumbai,PvrDynamicJuhu,English,10:30,Classic,150₹,40,4
Haryana,Rohtak,InoxSkytechMallRohtak,Hindi,10:30,Royale,200₹,39,2
Haryana,Rohtak,InoxSkytechMallRohtak,Hindi,10:30,Club,180₹,72,2
Haryana,Rohtak,InoxSkytechMallRohtak,Hindi,10:30,Executive,150₹,51,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,English,10:30,Royal,280₹,20,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,English,10:30,CoupleSeats,180₹,12,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,English,10:30,Premier,180₹,53,1
WestBengal,Kolkata,InoxMetropolisMallHilandPark,English,10:30,Silver,180₹,185,2
UttarPradesh,Lucknow,PvrPhoenixUnitedMallAlambagh,Hindi,10:30,Recliner,189₹,12,11
UttarPradesh,Lucknow,PvrPhoenixUnitedMallAlambagh,Hindi,10:30,Classic,139₹,243,3
UttarPradesh,Lucknow,PvrPhoenixUnitedMallAlambagh,Hindi,10:30,Prime,139₹,28,20
MadhyaPradesh,Gwalior,InoxDbMallRaceCourseRoad,Hindi,10:30,Royale,200₹,58,9
MadhyaPradesh,Gwalior,InoxDbMallRaceCourseRoad,Hindi,10:30,Club,190₹,55,0
MadhyaPradesh,Gwalior,InoxDbMallRaceCourseRoad,Hindi,10:30,Executive,170₹,22,0
Delhi,DelhiNcr,CinepolisCrossRiverMall,Hindi,10:30,Vip,505₹,5,0
Delhi,DelhiNcr,CinepolisCrossRiverMall,Hindi,10:30,Executive,236₹,110,0
Delhi,DelhiNcr,CinepolisCrossRiverMall,Hindi,10:30,Normal,227₹,159,2
Maharashtra,Mumbai,InoxLaserplexCr2NarimanPoint,English,10:35,Insignia,370₹,70,5
WestBengal,Kolkata,InoxQuestMallBallygunge,English,10:40,RoyalRecliner,370₹,10,2
WestBengal,Kolkata,InoxQuestMallBallygunge,English,10:40,Club,210₹,162,0
