State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Mumbai,CinepolisSeawoodsLT,English,09:10,Vip,300₹,14,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,English,09:10,Premium,190₹,76,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,English,09:10,Executive,170₹,86,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,English,09:10,Normal,150₹,30,0
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,English,10:00,Recliner,220₹,33,2
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,English,10:00,Prime,150₹,120,0
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,English,10:00,Classic,112₹,140,0
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,English,10:00,Recliner,220₹,14,2
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,English,10:00,Prime,140₹,10,0
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,English,10:00,Classic,112₹,137,0
Delhi,DelhiNcr,PvrSelectCityWalkSaket,English,10:00,ReclinersNormal,600₹,9,0
Delhi,DelhiNcr,PvrSelectCityWalkSaket,English,10:00,ClassicSuperior,250₹,47,0
Delhi,DelhiNcr,PvrSelectCityWalkSaket,English,10:00,ClassicNormal,200₹,96,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,English,10:30,Recliner,310₹,21,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,English,10:30,Classic,120₹,45,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,English,10:30,Prime,120₹,97,4
Karnataka,Bangalore,InoxGarudaMallMagrathRoad,English,10:30,RoyaleRecliners,220₹,9,0
Karnataka,Bangalore,InoxGarudaMallMagrathRoad,English,10:30,Club,140₹,60,0
Karnataka,Bangalore,InoxGarudaMallMagrathRoad,English,10:30,Executive,130₹,90,0
Karnataka,Bangalore,PvrVegaBannerghattaRoad,English,10:45,Classic,112₹,107,0
Karnataka,Bangalore,PvrVegaBannerghattaRoad,English,10:45,Classic,112₹,107,4
Maharashtra,Pune,CinepolisWestendMall,English,11:10,Normal,160₹,21,0
Maharashtra,Pune,CinepolisWestendMall,English,11:10,Premium,160₹,45,1
Maharashtra,Pune,CinepolisWestendMall,English,11:10,Executive,160₹,59,1
Maharashtra,Mumbai,CinepolisVivianaMall,English,11:15,Normal,140₹,25,0
Maharashtra,Mumbai,CinepolisVivianaMall,English,11:15,Premium,140₹,43,20
Maharashtra,Mumbai,CinepolisVivianaMall,English,11:15,Executive,140₹,97,2
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,English,11:35,Insignia,300₹,41,1
Delhi,DelhiNcr,CinepolisDlfAvenue,English,11:35,Premium,280₹,32,0
Delhi,DelhiNcr,CinepolisDlfAvenue,English,11:35,Executive,260₹,56,0
Delhi,DelhiNcr,CinepolisDlfAvenue,English,11:35,Normal,240₹,42,0
WestBengal,Kolkata,InoxQuestMallBallygunge,English,12:10,RoyalRecliner,280₹,8,0
WestBengal,Kolkata,InoxQuestMallBallygunge,English,12:10,Club,160₹,112,0
WestBengal,Kolkata,InoxQuestMallBallygunge,English,12:10,Executive,160₹,24,0
WestBengal,Kolkata,InoxQuestMallBallygunge,English,12:10,Royal,160₹,28,1
Maharashtra,Mumbai,InoxAtriaMallWorli,English,12:20,Insignia,470₹,26,0
Telangana,Hyderabad,InoxGvkOneBanjaraHills,English,12:30,Royal,250₹,5,3
Telangana,Hyderabad,InoxGvkOneBanjaraHills,English,12:30,Executive,150₹,124,10
Maharashtra,Mumbai,PvrCitiMallAndheriW,English,12:30,Recliner,199₹,24,0
Maharashtra,Mumbai,PvrCitiMallAndheriW,English,12:30,Classic,129₹,46,0
Maharashtra,Mumbai,PvrCitiMallAndheriW,English,12:30,Prime,129₹,146,15
Delhi,DelhiNcr,CinepolisUnityOneMall,English,12:30,Vip,350₹,9,0
Delhi,DelhiNcr,CinepolisUnityOneMall,English,12:30,Executive,250₹,100,0
Delhi,DelhiNcr,CinepolisUnityOneMall,English,12:30,Normal,240₹,26,0
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,13:00,Prime,250₹,14,0
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,13:00,Classic,200₹,130,0
Maharashtra,Mumbai,MaisonPvrLivingRoomLuxeMumbai,English,13:00,LuxeSuperior,400₹,4,0
Maharashtra,Mumbai,MaisonPvrLivingRoomLuxeMumbai,English,13:00,Luxe,400₹,24,0
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,English,13:00,Recliner,350₹,8,8
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,English,13:00,Classic,150₹,28,28
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,English,13:00,Prime,150₹,148,148
Delhi,DelhiNcr,PvrPacificSubhashNagar,English,13:20,Prime,250₹,68,2
Delhi,DelhiNcr,PvrPacificSubhashNagar,English,13:20,Classic,230₹,52,0
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,13:20,Prime,250₹,14,0
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,13:20,Classic,200₹,130,0
UttarPradesh,Noida,PvrLogixCityCentreNoida,English,13:30,Classic,190₹,99,9
Maharashtra,Pune,CinepolisSeasonsMall,English,13:55,Normal,150₹,17,0
Maharashtra,Pune,CinepolisSeasonsMall,English,13:55,Premium,150₹,22,0
Maharashtra,Pune,CinepolisSeasonsMall,English,13:55,Executive,150₹,49,0
Haryana,Gurgaon,PvrMgfMallGurgaon,English,13:55,Prime,249₹,74,0
Haryana,Gurgaon,PvrMgfMallGurgaon,English,13:55,Classic,199₹,60,0
Haryana,Gurgaon,PvrMgfMallGurgaon,English,13:55,Prime,249₹,74,0
Haryana,Gurgaon,PvrMgfMallGurgaon,English,13:55,Classic,199₹,60,0
Delhi,DelhiNcr,PvrDirectorsCutAmbienceVasantKunj,English,14:00,Platinum,500₹,27,0
Delhi,DelhiNcr,PvrDirectorsCutAmbienceVasantKunj,English,14:00,PlatinumSuperior,500₹,10,0
Maharashtra,Mumbai,InoxLaserplexCr2NarimanPoint,English,14:00,Insignia,420₹,70,0
UttarPradesh,Noida,PvrLogixCityCentreNoida,English,14:15,Classic,190₹,84,0
Chandigarh,Chandigarh,PvrElanteMallChandigarh,English,14:15,Recliner,550₹,13,2
