State,City,Name,Language,Time,Type,Price,Capacity,Booked
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,09:40,Recliner,350₹,14,3
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,09:40,Prime,190₹,80,6
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,09:40,Classic,170₹,128,2
Karnataka,Mangalore,CinepolisCityCentreMall,Kannada,10:00,Vip,200₹,17,6
Karnataka,Mangalore,CinepolisCityCentreMall,Kannada,10:00,Platinum,150₹,50,4
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,Kannada,10:15,Royale,320₹,9,0
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,Kannada,10:15,Club,200₹,70,4
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,Kannada,10:15,Executive,200₹,128,0
Karnataka,Mysore,InoxMallOfMysoreMgRoad,Kannada,10:20,Club,160₹,200,3
Karnataka,Bangalore,RocklineCinemasJalahalliCross,Kannada,10:45,Gold,150₹,193,19
Karnataka,Bangalore,PvrArenaMallDoddanakundi,Kannada,12:15,Prime,220₹,30,0
Karnataka,Bangalore,PvrArenaMallDoddanakundi,Kannada,12:15,Classic,200₹,104,0
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Kannada,12:35,Premium,250₹,28,0
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Kannada,12:35,Executive,230₹,52,0
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Kannada,12:35,Normal,210₹,24,0
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,12:35,Recliner,420₹,17,3
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,12:35,Prime,260₹,80,9
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,12:35,Classic,240₹,128,1
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Kannada,12:35,Premium,250₹,28,0
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Kannada,12:35,Executive,230₹,52,2
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Kannada,12:35,Normal,210₹,24,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,12:40,Vip,450₹,12,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,12:40,Normal,220₹,42,0
