State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,Marathi,09:20,RoyaleRecliners,160₹,13,0
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,Marathi,09:20,Club,100₹,33,0
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,Marathi,09:20,Executive,100₹,21,0
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,Marathi,09:20,Royale,100₹,38,0
Maharashtra,Mumbai,CinepolisMagnetMall,Marathi,09:30,Normal,110₹,26,0
Maharashtra,Mumbai,CinepolisMagnetMall,Marathi,09:30,Premium,110₹,56,2
Maharashtra,Mumbai,CinepolisMagnetMall,Marathi,09:30,Executive,110₹,34,0
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,10:20,SofaOffline,110₹,18,0
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,10:20,PlatinumOffline,100₹,48,3
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,10:20,GoldOffline,90₹,65,0
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,10:20,SilverOffline,80₹,48,0
Maharashtra,Mumbai,PvrOrionPanvel,Marathi,10:30,Classic,99₹,20,0
Maharashtra,Mumbai,PvrOrionPanvel,Marathi,10:30,Prime,99₹,98,14
Maharashtra,Mumbai,PvrOrionPanvel,Marathi,10:30,PrimePlus,99₹,27,8
Maharashtra,Pune,CarnivalPremierPlazaChinchwad,Marathi,10:45,PlatinumOffline,100₹,36,0
Maharashtra,Pune,CarnivalPremierPlazaChinchwad,Marathi,10:45,GoldOffline,90₹,18,0
Maharashtra,Pune,CarnivalPremierPlazaChinchwad,Marathi,10:45,SilverOffline,80₹,9,0
Maharashtra,Mumbai,MovietimeChembur,Marathi,11:00,Silver,130₹,132,0
Maharashtra,Mumbai,MovietimeChembur,Marathi,11:00,Gold,130₹,14,0
Maharashtra,Mumbai,InoxRaghuleelaMallVashi,Marathi,11:30,Executive,112₹,32,0
Maharashtra,Mumbai,InoxRaghuleelaMallVashi,Marathi,11:30,Premier,112₹,101,0
Maharashtra,Mumbai,InoxRaghuleelaMallVashi,Marathi,11:30,Silver,112₹,37,0
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Marathi,11:35,Prime,110₹,95,13
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Marathi,11:35,Classic,90₹,26,0
Maharashtra,Nanded,PvrTreasureBazaarMallNanded,Marathi,11:35,Classic,80₹,70,0
Maharashtra,Nanded,PvrTreasureBazaarMallNanded,Marathi,11:35,Prime,80₹,100,4
Maharashtra,Nanded,PvrTreasureBazaarMallNanded,Marathi,11:35,PrimePlus,80₹,63,3
Maharashtra,Pune,InoxJaiGaneshVisionMallAkurdi,Marathi,11:40,Premiere,90₹,105,0
Maharashtra,Pune,InoxJaiGaneshVisionMallAkurdi,Marathi,11:40,Red,90₹,48,0
Maharashtra,Pune,InoxJaiGaneshVisionMallAkurdi,Marathi,11:40,Silver,90₹,193,1
Maharashtra,Mumbai,PvrCityOneMallPimpri,Marathi,11:45,Classic,90₹,26,0
Maharashtra,Mumbai,PvrCityOneMallPimpri,Marathi,11:45,Prime,90₹,98,0
Maharashtra,Mumbai,InoxRaghuleelaMegaMallKandivaliW,Marathi,11:55,Gold,130₹,149,3
Maharashtra,Mumbai,InoxRaghuleelaMegaMallKandivaliW,Marathi,11:55,Premiere,130₹,51,0
Maharashtra,Mumbai,MovietimeHubMallGoregaonE,Marathi,12:00,Gold,120₹,281,25
Maharashtra,Pune,InoxAmanoraMallHadapsar,Marathi,12:05,Royale,220₹,2,0
Maharashtra,Pune,InoxAmanoraMallHadapsar,Marathi,12:05,Club,140₹,109,8
Maharashtra,Pune,InoxAmanoraMallHadapsar,Marathi,12:05,Executive,140₹,21,0
Maharashtra,Pune,InoxJaiGaneshVisionMallAkurdi,Marathi,12:10,Premiere,112₹,105,0
Maharashtra,Pune,InoxJaiGaneshVisionMallAkurdi,Marathi,12:10,Red,112₹,48,0
Maharashtra,Pune,InoxJaiGaneshVisionMallAkurdi,Marathi,12:10,Silver,112₹,193,0
Maharashtra,Mumbai,MovietimeHubMallGoregaonE,Marathi,12:10,Gold,120₹,196,21
Maharashtra,Aurangabad,InoxTapadiaMallTownCenter,Marathi,12:20,Silver,140₹,174,34
Maharashtra,Aurangabad,InoxTapadiaMallTownCenter,Marathi,12:20,Premiere,130₹,37,0
Maharashtra,Nashik,InoxOldVijayMamtaNasik,Marathi,12:20,Gold,150₹,29,6
Maharashtra,Nashik,InoxOldVijayMamtaNasik,Marathi,12:20,Platinum,112₹,14,14
Maharashtra,Nashik,InoxOldVijayMamtaNasik,Marathi,12:20,Silver,112₹,237,0
Maharashtra,Nashik,InoxOldVijayMamtaNasik,Marathi,12:20,Executive,90₹,59,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Marathi,12:25,RoyalRecliner,280₹,15,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Marathi,12:25,Royal,170₹,48,7
Maharashtra,Mumbai,InoxRCityGhatkoparW,Marathi,12:25,Club,160₹,105,5
Maharashtra,Mumbai,InoxRCityGhatkoparW,Marathi,12:25,Executive,140₹,50,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Marathi,12:25,RoyalRecliner,280₹,15,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Marathi,12:25,Royal,170₹,48,7
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Marathi,12:25,Club,160₹,105,5
