State,City,Name,Language,Time,Type,Price,Capacity,Booked
WestBengal,Kolkata,MinarCinemaACDolbyKolkata,Bengali,14:30,Balcony,120₹,211,96
WestBengal,Kolkata,MinarCinemaACDolbyKolkata,Bengali,14:30,RearStall,100₹,270,100
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,17:45,Recliner,149₹,12,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,17:45,Classic,99₹,80,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,17:45,Prime,99₹,11,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,17:45,Recliner,149₹,12,2
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,17:45,Classic,99₹,100,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,17:45,Prime,99₹,11,0
WestBengal,Kolkata,InoxSouthCityMall,Bengali,20:10,Silver,200₹,157,4
WestBengal,Kolkata,InoxSouthCityMall,Bengali,20:10,Premier,180₹,34,0
