State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Pune,FunsquareCinemaGhotawadePhataPirangut,Marathi,10:00,Gold,130₹,48,26
Maharashtra,Pune,FunsquareCinemaGhotawadePhataPirangut,Marathi,10:00,Silver,130₹,100,54
Maharashtra,Parli,ShreeNathTalkiesParliVaijnath,Marathi,12:00,Shree,100₹,240,0
Maharashtra,Mumbai,PvrXperiaPalavaDombivaliE,Marathi,12:00,Recliner,340₹,12,0
Maharashtra,Mumbai,PvrXperiaPalavaDombivaliE,Marathi,12:00,Prime,240₹,108,0
Maharashtra,Mumbai,PvrXperiaPalavaDombivaliE,Marathi,12:00,Classic,190₹,36,0
Maharashtra,Indapur,RahulCinemaIndapur,Marathi,12:00,FirstClass,100₹,140,0
Maharashtra,Pune,GunjanCinemaNhavare,Marathi,12:30,Gold,100₹,32,0
Maharashtra,Pune,GunjanCinemaNhavare,Marathi,12:30,Silver,100₹,54,0
Maharashtra,Mumbai,MovietimeHubMallGoregaonE,Marathi,12:30,Mhraja,150₹,44,8
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,12:40,Vip,420₹,14,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,12:40,Premium,220₹,60,6
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,12:40,Executive,200₹,94,0
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,12:40,Premium,240₹,46,16
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,12:40,Executive,220₹,106,0
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,12:40,Normal,200₹,27,0
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,12:40,Premium,240₹,46,16
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,12:40,Executive,220₹,106,0
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,12:40,Normal,200₹,27,0
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,12:50,Premium,200₹,34,3
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,12:50,Normal,180₹,29,0
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,12:50,Executive,180₹,79,0
Maharashtra,Pune,CinepolisWestendMall,Marathi,13:50,Normal,200₹,21,0
Maharashtra,Pune,CinepolisWestendMall,Marathi,13:50,Premium,200₹,35,17
Maharashtra,Pune,CinepolisWestendMall,Marathi,13:50,Executive,200₹,62,2
Maharashtra,Pune,GunjanCineplexKaregaon,Marathi,15:00,Regular,100₹,105,3
Maharashtra,Wanewadi,NavnathTheaterSomeshwarNagar,Marathi,15:00,Balcony,80₹,100,0
Maharashtra,Wanewadi,NavnathTheaterSomeshwarNagar,Marathi,15:00,Stall,50₹,100,0
Maharashtra,Pune,VaibhavChitramandirHadapsar,Marathi,16:15,Gold,120₹,142,0
Maharashtra,Jejuri,SwamiSamarthChitraMandirJejuri,Marathi,18:00,Balcony,100₹,149,0
Maharashtra,Jejuri,SwamiSamarthChitraMandirJejuri,Marathi,18:00,Stall,80₹,198,0
Maharashtra,Latur,RegalCinemaLatur,Marathi,18:00,Balcony,80₹,150,0
Maharashtra,Latur,RegalCinemaLatur,Marathi,18:00,FirstClass,70₹,322,0
