State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Mumbai,InoxRCityGhatkoparW,English,10:10,Insignia,350₹,42,7
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,English,10:10,Insignia,350₹,42,7
Gujarat,Ahmedabad,TimeCinemaAhmedabadCgSquareMall,English,10:15,Infinity1000,"1,000₹",12,0
Karnataka,Bangalore,Pvr4DxOrionMallDrRajkumarRoad,English,10:35,Classic,280₹,96,4
Haryana,Gurgaon,PvrAmbienceGoldGurgaon,English,10:40,Platinum,400₹,28,7
Haryana,Gurgaon,PvrAmbienceGoldGurgaon,English,10:40,PlatinumSuperior,400₹,8,6
Haryana,Gurgaon,PvrAmbienceGoldGurgaon,English,10:40,Platinum,400₹,28,5
Haryana,Gurgaon,PvrAmbienceGoldGurgaon,English,10:40,PlatinumSuperior,400₹,8,6
Karnataka,Bangalore,PvrPhoenixMarketcityMall4DxWhitefield,English,10:50,Classic,280₹,100,14
Maharashtra,Pune,InoxBundGarden,English,11:10,Royale,250₹,34,6
Maharashtra,Mumbai,PvrIconInfinitiGoldAndheriW,English,11:45,Luxe,500₹,51,0
Maharashtra,Mumbai,PvrIconInfinitiGoldAndheriW,English,11:45,LuxeSuperior,500₹,35,19
Maharashtra,Mumbai,InoxLaserplexCr2NarimanPoint,English,13:40,Insignia,550₹,70,10
WestBengal,Kolkata,InoxQuestMallBallygunge,English,13:45,RoyalRecliner,650₹,63,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,English,13:50,Insignia,450₹,34,7
Gujarat,Ahmedabad,TimeCinemaAhmedabadCgSquareMall,English,15:30,Infinity1000,"1,000₹",12,0
Telangana,Hyderabad,Pvr4DxKukatpallyHyderabad,English,16:30,4DxClassic,350₹,108,33
Maharashtra,Mumbai,PvrMarketCityGoldKurlaW,English,16:30,GoldPremium,500₹,24,19
Maharashtra,Mumbai,PvrMarketCityGoldKurlaW,English,16:30,GoldStar,450₹,36,0
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,English,17:20,RoyaleRecliners,330₹,13,0
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,English,17:20,Royale,190₹,38,2
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,English,17:20,Club,170₹,33,0
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,English,17:20,Executive,170₹,21,0
Maharashtra,Pune,PvrMarketCityGoldVimanNagar,English,18:30,GoldPrime,600₹,22,3
Maharashtra,Pune,PvrMarketCityGoldVimanNagar,English,18:30,GoldClassic,600₹,24,8
Maharashtra,Mumbai,InoxRCityGhatkoparW,English,19:15,Insignia,700₹,42,9
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,English,19:15,Insignia,700₹,42,9
Maharashtra,Pune,InoxBundGarden,English,19:15,Royale,500₹,32,9
UttarPradesh,Noida,PvrLogixCityCentreNoida,English,19:25,Classic,320₹,120,31
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,19:25,Prime,350₹,34,28
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,19:25,Classic,300₹,50,12
Telangana,Hyderabad,Pvr4DxIrrumManzilHyderabad,English,19:45,4Dx,350₹,96,37
Gujarat,Ahmedabad,TimeCinemaAhmedabadCgSquareMall,English,21:00,Standard320,320₹,84,0
Telangana,Hyderabad,PvrPlayHouseNextGalleriaMallPanjagutt,English,21:20,Classic,150₹,54,18
Maharashtra,Mumbai,PvrIconOberoiPlayHouseGoregaonE,English,21:30,Recliner,650₹,26,12
Maharashtra,Mumbai,PvrIconOberoiPlayHouseGoregaonE,English,21:30,Prime,320₹,96,17
Maharashtra,Mumbai,PvrIconOberoiPlayHouseGoregaonE,English,21:30,Classic,290₹,22,0
Maharashtra,Mumbai,InoxAtriaMallWorli,English,21:50,Insignia,"1,030₹",27,19
Chandigarh,Chandigarh,PvrElanteMallChandigarh,English,22:30,Recliner,650₹,13,2
Chandigarh,Chandigarh,PvrElanteMallChandigarh,English,22:30,Classic,230₹,138,8
Maharashtra,Mumbai,InoxMegaplexInorbitMall,English,22:30,Insignia,750₹,34,4
