State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Mumbai,PvrIconPhoenixImaxLowerParel,English,08:50,Recliner,300₹,16,5
Maharashtra,Mumbai,PvrIconPhoenixImaxLowerParel,English,08:50,Prime,230₹,329,19
Maharashtra,Mumbai,PvrIconPhoenixImaxLowerParel,English,08:50,Classic,160₹,57,0
UttarPradesh,Noida,PvrLogixCityCentre4DxNoida,Hindi,09:00,Classic,375₹,80,9
Gujarat,Vadodara,CinepolisInorbitMall,English,09:00,Normal,150₹,24,0
Gujarat,Vadodara,CinepolisInorbitMall,English,09:00,Premium,150₹,26,1
Gujarat,Vadodara,CinepolisInorbitMall,English,09:00,Executive,150₹,93,0
Gujarat,Surat,CinepolisImperialSquareMall,English,09:00,Normal,110₹,29,0
Gujarat,Surat,CinepolisImperialSquareMall,English,09:00,Premium,110₹,42,0
Gujarat,Surat,CinepolisImperialSquareMall,English,09:00,Executive,110₹,92,1
Gujarat,Surat,PvrRahulRaj4DxDumasRoad,English,09:00,4DxPrime,270₹,60,8
Gujarat,Surat,PvrRahulRaj4DxDumasRoad,English,09:00,4DxClassic,250₹,24,0
Goa,Goa,InoxPorvorimBardez,English,09:00,RoyalRecliner,200₹,9,2
Goa,Goa,InoxPorvorimBardez,English,09:00,Club,140₹,116,1
Goa,Goa,InoxPorvorimBardez,English,09:00,Executive,140₹,36,0
Goa,Goa,InoxPorvorimBardez,English,09:00,Royal,140₹,60,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,English,09:00,Normal,400₹,108,7
Maharashtra,Mumbai,PvrMarketCity4DxKurlaW,English,09:00,4DxPrime,300₹,84,18
Maharashtra,Mumbai,PvrMarketCity4DxKurlaW,English,09:00,4DxClassic,250₹,60,0
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,English,09:00,Recliner,350₹,8,4
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,English,09:00,Prime,200₹,134,28
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,English,09:00,Classic,180₹,28,0
Maharashtra,Pune,PvrMarketCity4DxVimanNagar,English,09:00,4DxPrime,380₹,72,18
Maharashtra,Pune,PvrMarketCity4DxVimanNagar,English,09:00,4DxClassic,330₹,48,0
WestBengal,Kolkata,InoxQuestMallBallygunge,English,09:00,RoyalRecliner,220₹,12,0
WestBengal,Kolkata,InoxQuestMallBallygunge,English,09:00,Club,140₹,172,0
WestBengal,Kolkata,InoxQuestMallBallygunge,English,09:00,Executive,140₹,40,0
WestBengal,Kolkata,InoxQuestMallBallygunge,English,09:00,Royal,140₹,62,0
Maharashtra,Mumbai,CarnivalImaxWadala,English,09:10,PremiumOffline,200₹,95,0
Maharashtra,Mumbai,CarnivalImaxWadala,English,09:10,PlatinumOffline,150₹,212,2
WestBengal,Kolkata,InoxSouthCityMall,English,09:10,Silver,240₹,243,11
Maharashtra,Pune,CinepolisWestendMall,English,09:10,Vip,400₹,13,2
Maharashtra,Pune,CinepolisWestendMall,English,09:10,Premium,300₹,51,3
Maharashtra,Pune,CinepolisWestendMall,English,09:10,Executive,250₹,162,8
Maharashtra,Pune,CinepolisWestendMall,English,09:10,Normal,200₹,40,0
Delhi,DelhiNcr,PvrImaxSelectCityWalkSaket,English,09:10,ReclinersNormal,800₹,17,0
Delhi,DelhiNcr,PvrImaxSelectCityWalkSaket,English,09:10,Prime,350₹,139,6
Delhi,DelhiNcr,PvrImaxSelectCityWalkSaket,English,09:10,LoungerNormal,350₹,11,0
Delhi,DelhiNcr,PvrImaxSelectCityWalkSaket,English,09:10,ClassicNormal,300₹,132,2
Maharashtra,Mumbai,CinepolisSeawoodsLT,English,09:15,Premium,280₹,49,6
Maharashtra,Mumbai,CinepolisSeawoodsLT,English,09:15,Executive,260₹,103,4
Maharashtra,Mumbai,CinepolisSeawoodsLT,English,09:15,Normal,240₹,53,0
WestBengal,Kolkata,InoxForumMallElginRoad,English,09:15,DressCircle,140₹,108,6
WestBengal,Kolkata,InoxForumMallElginRoad,English,09:15,Galleria,140₹,36,0
WestBengal,Kolkata,InoxForumMallElginRoad,English,09:15,Royal,140₹,34,7
Delhi,DelhiNcr,CinepolisDlfAvenue,English,09:15,Normal,300₹,96,25
Gujarat,Surat,InoxVrSuratDumasRoad,English,09:25,RoyalRecliner,230₹,12,0
Gujarat,Surat,InoxVrSuratDumasRoad,English,09:25,Club,140₹,102,0
Gujarat,Surat,InoxVrSuratDumasRoad,English,09:25,Executive,140₹,34,0
Gujarat,Surat,InoxVrSuratDumasRoad,English,09:25,Royal,140₹,54,0
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,English,09:25,Royale,140₹,81,3
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,English,09:25,Club,112₹,129,0
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,English,09:25,Executive,112₹,30,0
Chandigarh,Chandigarh,Pvr4DxElanteChandigarh,Hindi,09:30,Classic,350₹,92,4
MadhyaPradesh,Bhopal,CinepolisAashimaMall,English,09:30,Normal,120₹,30,0
MadhyaPradesh,Bhopal,CinepolisAashimaMall,English,09:30,Premium,120₹,81,4
MadhyaPradesh,Bhopal,CinepolisAashimaMall,English,09:30,Executive,120₹,77,0
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,English,09:30,Recliner,190₹,34,2
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,English,09:30,Prime,110₹,147,23
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,English,09:30,Classic,100₹,45,0
Haryana,Gurgaon,CinepolisAiriaMall,English,09:30,Normal,150₹,30,2
Haryana,Gurgaon,CinepolisAiriaMall,English,09:30,Lounger,150₹,8,0
Haryana,Gurgaon,CinepolisAiriaMall,English,09:30,DoubleSofa,150₹,24,0
Punjab,Mohali,PvrVrPunjabMallMohali,English,09:35,Prime,200₹,42,0
Punjab,Mohali,PvrVrPunjabMallMohali,English,09:35,Classic,170₹,105,0
Maharashtra,Mumbai,InoxLaserplexCr2NarimanPoint,English,09:40,Insignia,250₹,70,3
Karnataka,Bangalore,InoxCentralMantriJunctionJpNagar,English,09:50,Royal,300₹,4,0
Karnataka,Bangalore,InoxCentralMantriJunctionJpNagar,English,09:50,Club,190₹,234,1
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,English,09:50,Club,300₹,222,10
Gujarat,Ahmedabad,TimeCinemaAhmedabadCgSquareMall,English,09:50,Infinity,"1,000₹",12,0
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,English,09:55,Club,300₹,59,7
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,English,09:55,Executive,300₹,256,0
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,English,10:00,PremiumLounge,250₹,65,10
Chandigarh,Chandigarh,CinepolisTdiJagatMall,English,10:00,Executive,112₹,139,4
Chandigarh,Chandigarh,CinepolisTdiJagatMall,English,10:00,Normal,95₹,70,0
Maharashtra,Mumbai,InoxAtriaMallWorli,English,10:00,Insignia,330₹,30,0
Maharashtra,Mumbai,MovietimeHubMallGoregaonE,English,10:00,Mhraja,100₹,44,6
Karnataka,Bangalore,CinepolisForumShantiniketan,English,10:00,Normal,250₹,84,2
Karnataka,Bangalore,CinepolisOrionEastMall,English,10:00,Premium,160₹,59,21
Karnataka,Bangalore,CinepolisOrionEastMall,English,10:00,Executive,140₹,94,10
Karnataka,Bangalore,CinepolisOrionEastMall,English,10:00,Normal,120₹,34,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,English,10:00,Recliner,390₹,15,1
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,English,10:00,Prime,160₹,172,3
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,English,10:00,Classic,120₹,80,1
Maharashtra,Pune,CinepolisVipSeasonsMall,English,10:00,Vip,350₹,71,5
Karnataka,Mangalore,CinepolisCityCentreMall,English,10:00,Vip,200₹,17,2
Karnataka,Mangalore,CinepolisCityCentreMall,English,10:00,Platinum,150₹,50,2
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Hindi,10:05,Club,220₹,16,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Hindi,10:05,Royal,220₹,60,6
Kerala,Thrissur,InoxSobhaCityMall,English,10:10,RoyalRecliner,200₹,15,4
Kerala,Thrissur,InoxSobhaCityMall,English,10:10,Club,130₹,221,0
Kerala,Thrissur,InoxSobhaCityMall,English,10:10,Royal,130₹,26,0
Kerala,Thrissur,InoxSobhaCityMall,English,10:10,Executive,100₹,36,0
Karnataka,Bangalore,PvrPaytmImaxVegaCityBannerghattaRoad,English,10:10,Prime,240₹,43,8
Karnataka,Bangalore,PvrPaytmImaxVegaCityBannerghattaRoad,English,10:10,Classic,210₹,250,17
Maharashtra,Pune,CinepolisSeasonsMall,English,10:10,Normal,130₹,27,0
Maharashtra,Pune,CinepolisSeasonsMall,English,10:10,Premium,130₹,33,7
Maharashtra,Pune,CinepolisSeasonsMall,English,10:10,Executive,130₹,92,4
Punjab,Amritsar,PvrSctAmritsar,English,10:10,Recliner,225₹,6,0
Punjab,Amritsar,PvrSctAmritsar,English,10:10,Classic,112₹,150,0
Punjab,Amritsar,PvrSctAmritsar,English,10:10,Prime,112₹,41,4
Odisha,Bhubaneswar,CinepolisEsplanade,English,10:15,Vip,450₹,11,0
Odisha,Bhubaneswar,CinepolisEsplanade,English,10:15,Premium,170₹,45,14
Odisha,Bhubaneswar,CinepolisEsplanade,English,10:15,Executive,160₹,51,2
Odisha,Bhubaneswar,CinepolisEsplanade,English,10:15,Normal,150₹,24,0
Punjab,Jalandhar,PvrCuroJalandhar,English,10:15,Prime,210₹,52,0
Punjab,Jalandhar,PvrCuroJalandhar,English,10:15,Classic,150₹,27,0
Punjab,Jalandhar,PvrCuroJalandhar,English,10:15,ClassicPlus,150₹,27,0
Karnataka,Bangalore,InoxLidoMallUlsoor,English,10:15,Gold,300₹,14,7
Karnataka,Bangalore,InoxLidoMallUlsoor,English,10:15,Premiere,190₹,134,12
Maharashtra,Mumbai,CinepolisVivianaMall,English,10:25,Normal,220₹,39,0
Maharashtra,Mumbai,CinepolisVivianaMall,English,10:25,Premium,220₹,57,2
Maharashtra,Mumbai,CinepolisVivianaMall,English,10:25,Executive,220₹,224,7
Karnataka,Bangalore,CinepolisForumShantiniketan,English,10:30,Premium,260₹,51,2
