State,City,Name,Language,Time,Type,Price,Capacity,Booked
Kerala,Perinthalmanna,VismayaCinemasPerinthalmanna,Malayalam,10:00,Platinum,100₹,151,33
Kerala,Trivandrum,CarnivalArtechMallVanchyoor,Malayalam,10:00,SilverOffline,150₹,147,18
Kerala,Trivandrum,CarnivalArtechMallVanchyoor,Malayalam,10:00,ExecutiveOffline,100₹,26,0
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,10:00,Gold,300₹,12,0
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,10:00,Silver,190₹,140,18
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,10:00,ExecutiveOffline,160₹,80,2
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,10:00,NormalOffline,100₹,16,0
Kerala,Payyanur,RajadhaniCinemasPayyanur,Malayalam,10:30,PlatinumCircle,130₹,88,9
Kerala,Kakkattil,AjanthaCinemasKakkattil,Malayalam,10:30,Executive,110₹,199,2
Kerala,Kanhangad,DeepthiCinemasAC2KDolbyAtmosKanhangad,Malayalam,10:30,GoldClass,140₹,143,0
Kerala,Muvattupuzha,CarnivalGrandCentreMallAramanaJunction,Malayalam,10:30,ExecutiveOffline,130₹,155,28
Kerala,Thalassery,CarnivalDowntownThalassery,Malayalam,10:30,GoldOffline,180₹,7,0
Kerala,Thalassery,CarnivalDowntownThalassery,Malayalam,10:30,ExecutiveOffline,110₹,135,14
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:40,RoyalRecliner,200₹,10,0
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:40,Club,130₹,155,0
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:40,Royal,130₹,20,5
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:40,Executive,100₹,26,0
Kerala,Karunagappally,CarnivalHJComplexLalajiJunction,Malayalam,10:40,ClassicOffline,100₹,118,21
Kerala,Kunnamkulam,RhCinemaKunnamkulam,Malayalam,10:45,Platinum,130₹,241,0
Kerala,SultanBathery,AiswaryaAthulyaCineplexSulthanBathery,Malayalam,11:00,SofaSeat,170₹,44,0
Kerala,SultanBathery,AiswaryaAthulyaCineplexSulthanBathery,Malayalam,11:00,GoldClass,110₹,63,1
Kerala,Cherpulassery,CheloorGrandCinemasCherpulassery,Malayalam,11:00,Diamond,140₹,20,0
Kerala,Cherpulassery,CheloorGrandCinemasCherpulassery,Malayalam,11:00,GoldCircle,125₹,162,0
Kerala,Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Malayalam,11:00,PlatinumRecliner,300₹,17,0
