State,City,Name,Language,Time,Type,Price,Capacity,Booked
Kerala,Kollam,CarnivalRpMallKollam,Malayalam,10:30,PremiumOffline,100₹,96,21
Kerala,Payyanur,SumangaliCinemasPayyanur,Malayalam,10:30,PlatinumCircle,130₹,161,0
Kerala,Thalassery,CarnivalDowntownThalassery,Malayalam,10:45,ExecutiveOffline,110₹,131,13
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,11:15,GoldLounge,350₹,36,10
Kerala,Kodungallur,CarnivalMughalMallStarNagar,Malayalam,11:30,ExecutiveOffline,100₹,166,2
Kerala,Manjeri,LadderCinemasManjeri,Malayalam,12:15,Executive,150₹,126,10
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,12:40,ClassicPlus,140₹,81,15
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,12:40,Classic,110₹,36,0
Kerala,Payyanur,SumangaliCinemasPayyanur,Malayalam,13:30,PlatinumCircle,130₹,161,0
Kerala,Thalassery,CarnivalDowntownThalassery,Malayalam,13:30,GoldOffline,180₹,7,0
Kerala,Thalassery,CarnivalDowntownThalassery,Malayalam,13:30,ExecutiveOffline,110₹,135,7
Kerala,Trivandrum,CarnivalGreenfieldCinemaKaryavattom,Malayalam,13:40,ExecutiveOffline,140₹,132,14
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,14:00,RoyalRecliner,290₹,10,0
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,14:00,Club,170₹,155,0
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,14:00,Royal,170₹,20,2
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,14:00,Executive,130₹,26,0
Kerala,Kattanam,GanamTheatreComplexACKattanam,Malayalam,14:30,FirstClass,150₹,191,107
Kerala,Thalassery,LibertyParadiseComplexThalassery,Malayalam,14:45,Gold,125₹,214,86
Kerala,Thrissur,RamdasThrissur,Malayalam,15:00,DimondCircle,125₹,51,0
Kerala,Thrissur,RamdasThrissur,Malayalam,15:00,PearlCircle,100₹,288,14
Kerala,Manjeri,LadderCinemasManjeri,Malayalam,15:00,Executive,150₹,126,2
Kerala,Thalayolaparambu,CarnivalThalayolaparambu,Malayalam,15:30,Gold,110₹,144,6
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,16:00,Silver,190₹,103,6
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,16:00,ExecutiveOffline,160₹,72,0
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,16:00,NormalOffline,100₹,18,0
Kerala,Kollam,CarnivalRpMallKollam,Malayalam,16:15,PremiumOffline,150₹,96,21
Kerala,Thalassery,CarnivalDowntownThalassery,Malayalam,16:15,ExecutiveOffline,140₹,131,13
