State,City,Name,Language,Time,Type,Price,Capacity,Booked
Kerala,Angadipuram,InoxChennaiCitiCentre,Tamil,09:00,Club,152₹,226,15
Kerala,Angadipuram,InoxChennaiCitiCentre,Tamil,09:00,Executive,60₹,38,29
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,09:35,Club,190₹,165,31
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,09:35,Executive,60₹,25,4
TamilNadu,Krishnagiri,KarthikeyanTheater,Tamil,10:30,BoxLeft,70₹,18,18
TamilNadu,Krishnagiri,KarthikeyanTheater,Tamil,10:30,BoxRight,70₹,18,18
TamilNadu,Krishnagiri,KarthikeyanTheater,Tamil,10:30,FirstClass,70₹,288,0
Kerala,Angadipuram,PvrSklsGalaxyMallRedHills,Tamil,12:20,Prime,165₹,135,73
Kerala,Angadipuram,PvrSklsGalaxyMallRedHills,Tamil,12:20,Classic,60₹,22,22
Kerala,Angadipuram,InoxChennaiCitiCentre,Tamil,12:25,Club,152₹,146,27
Kerala,Angadipuram,InoxChennaiCitiCentre,Tamil,12:25,Executive,60₹,25,0
Kerala,Angadipuram,PvrGrandMallVelachery,Tamil,12:30,Prime,190₹,133,76
Kerala,Angadipuram,PvrGrandMallVelachery,Tamil,12:30,Classic,60₹,40,40
Kerala,Angadipuram,PvrAmpaSkywalkMallAminjikarai,Tamil,12:45,Prime,179₹,116,56
Kerala,Angadipuram,PvrAmpaSkywalkMallAminjikarai,Tamil,12:45,Classic,60₹,17,15
Kerala,Angadipuram,InoxTheMarinaMallOmr,Tamil,12:55,Club,190₹,126,25
Kerala,Angadipuram,InoxTheMarinaMallOmr,Tamil,12:55,Executive,60₹,16,4
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,13:00,Club,190₹,135,95
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,13:00,Executive,60₹,19,19
Kerala,Angadipuram,PvrHeritageRslEcrChennai,Tamil,13:05,Prime,190₹,98,18
Kerala,Angadipuram,PvrHeritageRslEcrChennai,Tamil,13:05,Classic,60₹,11,11
TamilNadu,Krishnagiri,KarthikeyanTheater,Tamil,14:15,BoxLeft,70₹,18,18
TamilNadu,Krishnagiri,KarthikeyanTheater,Tamil,14:15,BoxRight,70₹,18,18
TamilNadu,Krishnagiri,KarthikeyanTheater,Tamil,14:15,FirstClass,70₹,288,0
TamilNadu,Vellore,PvrVelocitySilkMillGandhiNagar,Tamil,15:30,Prime,149₹,144,58
TamilNadu,Vellore,PvrVelocitySilkMillGandhiNagar,Tamil,15:30,Classic,60₹,17,2
Kerala,Angadipuram,PvrGrandGaladaPallavaram,Tamil,15:35,Prime,179₹,132,95
Kerala,Angadipuram,PvrGrandGaladaPallavaram,Tamil,15:35,Classic,60₹,28,5
Kerala,Angadipuram,InoxChennaiCitiCentre,Tamil,15:45,Club,152₹,146,48
Kerala,Angadipuram,InoxChennaiCitiCentre,Tamil,15:45,Executive,60₹,25,21
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,15:55,Club,190₹,134,101
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,15:55,Executive,60₹,22,21
Kerala,Angadipuram,InoxTheMarinaMallOmr,Tamil,16:05,Club,190₹,126,43
Kerala,Angadipuram,InoxTheMarinaMallOmr,Tamil,16:05,Executive,60₹,16,3
TamilNadu,Krishnagiri,KarthikeyanTheater,Tamil,18:15,BoxLeft,70₹,18,18
TamilNadu,Krishnagiri,KarthikeyanTheater,Tamil,18:15,BoxRight,70₹,18,18
TamilNadu,Krishnagiri,KarthikeyanTheater,Tamil,18:15,FirstClass,70₹,288,0
Kerala,Angadipuram,InoxChandraMetroMallVirugambakkam,Tamil,18:50,Silver,152₹,167,9
Kerala,Angadipuram,InoxChandraMetroMallVirugambakkam,Tamil,18:50,Premiere,60₹,20,16
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,18:50,Club,190₹,135,113
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,18:50,Executive,60₹,19,19
Kerala,Angadipuram,InoxTheMarinaMallOmr,Tamil,19:15,Club,190₹,126,0
Kerala,Angadipuram,InoxTheMarinaMallOmr,Tamil,19:15,Executive,60₹,16,10
TamilNadu,Krishnagiri,KarthikeyanTheater,Tamil,21:30,BoxLeft,70₹,18,18
TamilNadu,Krishnagiri,KarthikeyanTheater,Tamil,21:30,BoxRight,70₹,18,18
TamilNadu,Krishnagiri,KarthikeyanTheater,Tamil,21:30,FirstClass,70₹,288,0
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,21:50,Club,190₹,165,19
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,21:50,Executive,60₹,25,0
