State,City,Name,Language,Time,Type,Price,Capacity,Booked
Gujarat,Bhavnagar,Top3MultiplexBhavnagar,Gujarathi,07:15,Gold,110₹,70,0
Gujarat,Bhavnagar,Top3MultiplexBhavnagar,Gujarathi,07:15,Silver,90₹,54,0
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarathi,09:15,Recliner,280₹,24,5
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarathi,09:15,Prime,140₹,72,16
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarathi,09:15,Classic,120₹,30,0
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarathi,09:15,ClassicPlus,120₹,30,0
Gujarat,Bhavnagar,Top3MultiplexBhavnagar,Gujarathi,09:45,Gold,100₹,70,0
Gujarat,Bhavnagar,Top3MultiplexBhavnagar,Gujarathi,09:45,Silver,80₹,54,0
Gujarat,Vadodara,PvrEvaMallManjalpur,Gujarathi,11:15,Prime,110₹,64,0
Gujarat,Vadodara,PvrEvaMallManjalpur,Gujarathi,11:15,PrimePlus,110₹,65,18
Gujarat,Vadodara,PvrEvaMallManjalpur,Gujarathi,11:15,Classic,110₹,47,0
Gujarat,Vadodara,PvrTransCubeVadodara,Gujarathi,12:15,Recliner,300₹,8,0
Gujarat,Vadodara,PvrTransCubeVadodara,Gujarathi,12:15,Classic,150₹,39,0
Gujarat,Vadodara,PvrTransCubeVadodara,Gujarathi,12:15,Prime,150₹,90,0
Gujarat,Ahmedabad,MirajCityPulseManiNagar,Gujarathi,12:55,Gold,140₹,24,5
Gujarat,Rajkot,InoxRWorldRajkot,Gujarathi,13:05,Platinum,200₹,172,6
Maharashtra,Mumbai,CinemaxOdeonGhatkoparE,Gujarathi,13:20,Recliner,260₹,11,0
Maharashtra,Mumbai,CinemaxOdeonGhatkoparE,Gujarathi,13:20,Classic,160₹,28,0
Maharashtra,Mumbai,CinemaxOdeonGhatkoparE,Gujarathi,13:20,Prime,160₹,84,0
Maharashtra,Mumbai,CinemaxOdeonGhatkoparE,Gujarathi,13:20,PrimePlus,160₹,65,17
Gujarat,Gandhinagar,InoxR21Gandhinagar,Gujarathi,13:45,Platinum,160₹,10,0
Gujarat,Gandhinagar,InoxR21Gandhinagar,Gujarathi,13:45,Gold,140₹,70,4
Gujarat,Gandhinagar,InoxR21Gandhinagar,Gujarathi,13:45,Silver,100₹,17,0
Gujarat,Anand,DiyaCinema100FeetRoad,Gujarathi,14:00,Sofa,150₹,100,0
Gujarat,Anand,DiyaCinema100FeetRoad,Gujarathi,14:00,Platinum,110₹,100,0
