State,City,Name,Language,Time,Type,Price,Capacity,Booked
Karnataka,Bangalore,Vaibhav4KAC71DolbySanjayNagar,Kannada,06:00,Diamond,270₹,384,377
Karnataka,Bangalore,Vaibhav4KAC71DolbySanjayNagar,Kannada,06:00,Gold,220₹,513,384
Karnataka,Bangalore,ManasaRgbLaserAtmosCinemasKonankunte,Kannada,06:00,Platinum,270₹,86,86
Karnataka,Bangalore,ManasaRgbLaserAtmosCinemasKonankunte,Kannada,06:00,Gold,220₹,282,282
Karnataka,Bangalore,ManasaRgbLaserAtmosCinemasKonankunte,Kannada,06:00,Silver,170₹,156,104
Karnataka,Davanagere,MovietimeSsGardeniaMallDavanagere,Kannada,06:15,3DGold,350₹,41,41
Karnataka,Davanagere,MovietimeSsGardeniaMallDavanagere,Kannada,06:15,3DPremier,300₹,160,159
TamilNadu,Tirupur,KalaivaniCinemasAC3DTirupur,Tamil,06:30,PlatinumIClass,100₹,100,36
TamilNadu,Tirupur,KalaivaniCinemasAC3DTirupur,Tamil,06:30,GoldIiClass,80₹,206,206
Karnataka,Mysore,PvrGarudaMallAlbertVictorRoad,Kannada,06:30,3DPrime,385₹,25,25
Karnataka,Mysore,PvrGarudaMallAlbertVictorRoad,Kannada,06:30,3DClassic,270₹,240,240
Karnataka,Bangalore,PvrForumMallKoramangala,Kannada,06:30,3DRecliner,740₹,16,16
Karnataka,Bangalore,PvrForumMallKoramangala,Kannada,06:30,3DClassic,276₹,225,224
Karnataka,Bangalore,PvrForumMallKoramangala,Kannada,06:30,3DLounger,276₹,12,12
Karnataka,Bangalore,PvrGoldOrionMallDrRajkumarRoad,Kannada,06:30,GoldPrime,"1,100₹",8,6
Karnataka,Bangalore,PvrGoldOrionMallDrRajkumarRoad,Kannada,06:30,Gold,900₹,40,5
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,06:30,Recliner,700₹,36,16
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,06:30,Prime,236₹,120,118
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,06:30,Classic,236₹,180,107
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Kannada,06:30,3DRecliner,540₹,26,26
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Kannada,06:30,3DClassic,276₹,144,144
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Kannada,06:30,3DPrime,276₹,117,117
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,06:30,3DRecliner,740₹,17,16
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,06:30,3DPrime,276₹,100,99
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,06:30,3DClassic,276₹,128,125
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Kannada,06:40,Classic,236₹,152,152
Karnataka,Bangalore,PvrPxlOrionMallDrRajkumarRoad,Kannada,06:40,3DRecliner,940₹,40,40
Karnataka,Bangalore,PvrPxlOrionMallDrRajkumarRoad,Kannada,06:40,3DPrime,590₹,78,73
Karnataka,Bangalore,PvrPxlOrionMallDrRajkumarRoad,Kannada,06:40,3DLounger,510₹,11,6
Karnataka,Bangalore,PvrPxlOrionMallDrRajkumarRoad,Kannada,06:40,3DClassic,480₹,209,157
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,06:40,3DRecliner,690₹,14,13
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,06:40,3DClassic,276₹,142,106
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,06:40,3DPrime,276₹,40,39
Karnataka,Hubli,PvrLaxmiMallCoenRoad,Kannada,06:40,3DPrime,385₹,11,8
Karnataka,Hubli,PvrLaxmiMallCoenRoad,Kannada,06:40,3DClassicPlus,271₹,144,133
Karnataka,Hubli,PvrLaxmiMallCoenRoad,Kannada,06:40,3DClassic,271₹,72,12
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,07:20,Recliner,700₹,16,2
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,07:20,Prime,236₹,108,98
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,07:20,Classic,236₹,108,17
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,07:30,Vip,750₹,12,1
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,07:30,Normal,276₹,42,14
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,07:30,Premium,276₹,67,62
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,07:30,Executive,276₹,79,79
Karnataka,Bangalore,SriVinayakaCinemasACDts4KVarthur,Kannada,07:40,Gold,230₹,455,384
Karnataka,Bangalore,SriVinayakaCinemasACDts4KVarthur,Kannada,07:40,Silver,180₹,122,62
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,07:45,Recliner,700₹,14,2
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,07:45,Prime,236₹,100,79
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,07:45,Classic,236₹,128,27
Karnataka,Bangalore,PvrForumMallKoramangala,Kannada,07:50,3DClassic,276₹,172,160
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Kannada,07:50,Recliner,700₹,20,0
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Kannada,07:50,Prime,236₹,13,12
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Kannada,07:50,Classic,236₹,156,10
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Kannada,07:50,Recliner,700₹,20,0
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Kannada,07:50,Prime,236₹,13,13
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Kannada,07:50,Classic,236₹,156,34
Maharashtra,Mumbai,PvrCityOneMallPimpri,Kannada,08:00,Recliner,180₹,18,14
Maharashtra,Mumbai,PvrCityOneMallPimpri,Kannada,08:00,Classic,130₹,57,0
Maharashtra,Mumbai,PvrCityOneMallPimpri,Kannada,08:00,Prime,130₹,204,77
Karnataka,Bangalore,InoxGarudaYelahankaBangalore,Kannada,08:00,Club,236₹,111,105
Karnataka,Bangalore,InoxGarudaYelahankaBangalore,Kannada,08:00,Executive,236₹,72,7
Karnataka,Bangalore,InoxLidoMallUlsoor,Kannada,08:00,Premiere,236₹,335,21
Karnataka,Mysore,InoxMallOfMysoreMgRoad,Kannada,08:00,Club,236₹,223,92
Karnataka,Bangalore,CinepolisOrionEastMall,Kannada,08:00,Normal,278₹,40,0
Karnataka,Bangalore,CinepolisOrionEastMall,Kannada,08:00,Premium,278₹,44,42
Karnataka,Bangalore,CinepolisOrionEastMall,Kannada,08:00,Executive,278₹,174,50
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,08:00,Vip,450₹,14,2
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,08:00,Normal,236₹,42,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,08:00,Premium,236₹,58,57
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,08:00,Executive,236₹,79,37
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,08:15,3DRecliner,690₹,14,12
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,08:15,3DClassic,276₹,105,74
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,08:15,3DPrime,276₹,40,40
Karnataka,Belagavi,CarnivalKapeelNucleusMall,Kannada,08:15,Silver,250₹,51,0
Karnataka,Belagavi,CarnivalKapeelNucleusMall,Kannada,08:15,Gold,250₹,85,2
Karnataka,Belagavi,CarnivalKapeelNucleusMall,Kannada,08:15,Platinum,250₹,140,52
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,08:20,3DRecliner,740₹,37,32
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,08:20,3DPrime,276₹,130,130
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,08:20,3DClassic,276₹,220,169
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Kannada,08:20,3DRecliner,740₹,17,1
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Kannada,08:20,3DPrime,276₹,13,13
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Kannada,08:20,3DClassic,276₹,152,70
Karnataka,Bangalore,PvrVegaGoldBannerghattaRoad,Kannada,08:20,GoldPrime,"1,100₹",12,3
Karnataka,Bangalore,PvrVegaGoldBannerghattaRoad,Kannada,08:20,Gold,900₹,24,0
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,Kannada,08:20,Recliner,650₹,11,4
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,Kannada,08:20,Classic,236₹,80,9
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,Kannada,08:20,Prime,236₹,19,19
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Kannada,08:20,3DRecliner,740₹,17,4
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Kannada,08:20,3DPrime,276₹,13,13
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Kannada,08:20,3DClassic,276₹,152,90
Maharashtra,Mumbai,PvrMarketCityKurlaW,Kannada,08:30,Prime,110₹,155,24
Maharashtra,Mumbai,PvrMarketCityKurlaW,Kannada,08:30,Classic,90₹,85,0
Karnataka,Bangalore,PvrGoldForumMallKoramangala,Kannada,08:30,GoldPrime,"1,200₹",8,1
Karnataka,Bangalore,PvrGoldForumMallKoramangala,Kannada,08:30,Gold,"1,000₹",24,0
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,08:30,Recliner,700₹,33,13
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,08:30,Prime,236₹,120,65
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,08:30,Classic,236₹,140,7
Karnataka,Belagavi,InoxCampRoadBelgaum,Kannada,08:30,Royal,230₹,40,2
Karnataka,Belagavi,InoxCampRoadBelgaum,Kannada,08:30,Club,210₹,362,6
Karnataka,Belagavi,InoxCampRoadBelgaum,Kannada,08:30,Executive,200₹,125,0
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,08:30,Normal,236₹,9,0
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,08:30,Premium,236₹,38,16
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,08:30,Executive,236₹,78,6
