State,City,Name,Language,Time,Type,Price,Capacity,Booked
TamilNadu,Coimbatore,FunCinemaRepublicMall,Tamil,09:35,Executive,152₹,142,34
TamilNadu,Coimbatore,FunCinemaRepublicMall,Tamil,09:35,Normal,60₹,17,17
Kerala,Angadipuram,CinepolisBsrMall,Tamil,10:00,Executive,152₹,117,7
Kerala,Angadipuram,CinepolisBsrMall,Tamil,10:00,Normal,60₹,17,8
Kerala,Angadipuram,SriVenkateswaraTalkiesACDolbyAtmos,Tamil,10:15,First,60₹,172,51
TamilNadu,Periyakulam,ParvathyTheatreAC4KDolbyAtmos,Tamil,10:30,Firstclass,100₹,272,0
TamilNadu,Thanjavur,GvComplexThanjavur,Tamil,11:00,BoxA,150₹,11,11
TamilNadu,Thanjavur,GvComplexThanjavur,Tamil,11:00,BoxB,150₹,11,11
TamilNadu,Thanjavur,GvComplexThanjavur,Tamil,11:00,I,150₹,156,30
TamilNadu,Thanjavur,GvComplexThanjavur,Tamil,11:00,Ii,150₹,60,0
TamilNadu,Thanjavur,VijayaTheatreACThanjavur,Tamil,11:00,FirstClass,120₹,520,10
TamilNadu,Vallioor,ChithraTheatreFullACVallioor,Tamil,11:15,FirstClass,100₹,372,22
TamilNadu,Kumbakonam,VasuTheatre4KRgbLaserOriginalDolby71Digital3D,Tamil,11:15,Platinum,130₹,156,35
TamilNadu,Kumbakonam,VasuTheatre4KRgbLaserOriginalDolby71Digital3D,Tamil,11:15,Gold,120₹,523,198
TamilNadu,Tiruchendur,KrishnaCinemasFullACDolby713D,Tamil,11:30,FirstClass,110₹,405,7
Kerala,Angadipuram,UdhayamComplex,Tamil,11:45,FirstClass,112₹,70,0
Kerala,Angadipuram,UdhayamComplex,Tamil,11:45,SecondClass,105₹,394,0
Kerala,Angadipuram,UdhayamComplex,Tamil,11:45,ThirdClass,50₹,51,0
TamilNadu,PunjaiPuliampatti,SriDeviCinemasPunjaiPuliampatti,Tamil,11:45,FirstClass,100₹,67,7
Kerala,Angadipuram,PvrVrChennaiAnnaNagar,Tamil,12:05,Prime,179₹,104,38
Kerala,Angadipuram,InoxTheMarinaMallOmr,Tamil,12:05,Club,190₹,126,26
Kerala,Angadipuram,InoxTheMarinaMallOmr,Tamil,12:05,Executive,60₹,16,15
Kerala,Angadipuram,PvrGrandGaladaPallavaram,Tamil,12:10,Prime,179₹,118,28
Kerala,Angadipuram,PvrGrandGaladaPallavaram,Tamil,12:10,Classic,60₹,28,28
Kerala,Angadipuram,PvrHeritageRslEcrChennai,Tamil,12:40,Prime,179₹,98,15
Kerala,Angadipuram,PvrHeritageRslEcrChennai,Tamil,12:40,Classic,60₹,11,11
Kerala,Angadipuram,AgsCinemasMaduravoyalChennai,Tamil,12:50,Diamond,190₹,205,2
Kerala,Angadipuram,CinepolisBsrMall,Tamil,13:10,Executive,152₹,117,1
Kerala,Angadipuram,CinepolisBsrMall,Tamil,13:10,Normal,60₹,17,17
Andaman,PortBlair,AnandParadiseMultiplex3D4KDolbyAtmos,Tamil,14:00,Paltinum,500₹,17,13
Andaman,PortBlair,AnandParadiseMultiplex3D4KDolbyAtmos,Tamil,14:00,Gold,260₹,52,25
Andaman,PortBlair,AnandParadiseMultiplex3D4KDolbyAtmos,Tamil,14:00,Silver,165₹,102,18
Andaman,PortBlair,AnandParadiseMultiplex3D4KDolbyAtmos,Tamil,14:00,Bronze,95₹,20,1
Kerala,Angadipuram,SriVenkateswaraTalkiesACDolbyAtmos,Tamil,14:00,First,60₹,172,38
TamilNadu,Dharmapuri,SriHariTheatreAC2K,Tamil,14:15,FirstClass,100₹,278,2
TamilNadu,Kumbakonam,VasuTheatre4KRgbLaserOriginalDolby71Digital3D,Tamil,14:15,Platinum,130₹,156,79
TamilNadu,Kumbakonam,VasuTheatre4KRgbLaserOriginalDolby71Digital3D,Tamil,14:15,Gold,120₹,523,209
TamilNadu,Thanjavur,VijayaTheatreACThanjavur,Tamil,14:15,FirstClass,120₹,520,14
TamilNadu,Pudukkottai,VijayTheatresPudhukottai,Tamil,14:15,FirstClass,120₹,478,47
TamilNadu,Madurai,KasiTheatreACDtsMadurai,Tamil,14:20,Balcony,80₹,104,0
TamilNadu,Madurai,KasiTheatreACDtsMadurai,Tamil,14:20,FirstClass,60₹,280,0
TamilNadu,Periyakulam,ParvathyTheatreAC4KDolbyAtmos,Tamil,14:30,Firstclass,100₹,272,0
TamilNadu,Tiruchendur,KrishnaCinemasFullACDolby713D,Tamil,14:30,FirstClass,110₹,405,5
TamilNadu,Sankarankovil,GeethalayaCinemasFullACDolby71Sankarankovil,Tamil,14:30,FirstClass,130₹,374,30
TamilNadu,Tirunelveli,TpvMultiplexDolbyAtmosSilverScreen4K3D,Tamil,14:30,FirstClass,110₹,168,38
Kerala,Angadipuram,MmTheatreACDolbyTondiarpet,Tamil,15:00,Elite,150₹,190,8
Kerala,Angadipuram,MmTheatreACDolbyTondiarpet,Tamil,15:00,Premium,110₹,318,0
TamilNadu,Chennai,MuruganCinemas4KDolbyAtmosAmbattur,Tamil,15:05,Box1,150₹,12,4
TamilNadu,Chennai,MuruganCinemas4KDolbyAtmosAmbattur,Tamil,15:05,Box2,150₹,14,12
TamilNadu,Chennai,MuruganCinemas4KDolbyAtmosAmbattur,Tamil,15:05,FirstClass,110₹,340,1
TamilNadu,Chennai,MuruganCinemas4KDolbyAtmosAmbattur,Tamil,15:05,SecondClass,110₹,60,60
Kerala,Angadipuram,PvrGrandMallVelachery,Tamil,15:15,Prime,165₹,130,47
Kerala,Angadipuram,PvrGrandMallVelachery,Tamil,15:15,Classic,60₹,40,40
Kerala,Angadipuram,UdhayamComplex,Tamil,15:15,FirstClass,112₹,70,11
Kerala,Angadipuram,UdhayamComplex,Tamil,15:15,SecondClass,105₹,394,6
Kerala,Angadipuram,UdhayamComplex,Tamil,15:15,ThirdClass,50₹,51,10
Kerala,Angadipuram,PvrVrChennaiAnnaNagar,Tamil,15:25,Prime,179₹,142,121
TamilNadu,Vellore,PvrVelocitySilkMillGandhiNagar,Tamil,15:25,Prime,165₹,152,13
