City,Name,Language,Time,Type,Price,Capacity,Booked
Mumbai,InoxNeelyogSquareMallGhatkoparE,Marathi,11:55,Executive,112₹,38,0
Mumbai,InoxNeelyogSquareMallGhatkoparE,Marathi,11:55,Premier,112₹,152,4
Mumbai,InoxNeelyogSquareMallGhatkoparE,Marathi,11:55,Silver,112₹,147,4
Parli,ShreeNathTalkiesParliVaijnath,Marathi,12:00,Shree,100₹,240,0
Yavatmal,FunCinemasSarojTalkies,Marathi,12:00,Balcony,100₹,100,0
Yavatmal,FunCinemasSarojTalkies,Marathi,12:00,UpperClass,60₹,100,0
Yavatmal,FunCinemasSarojTalkies,Marathi,12:00,LowerClass,60₹,100,0
Nagpur,InoxJaswantTuliMallKampteeRoad,Marathi,12:00,Club,170₹,232,0
Nagpur,InoxJaswantTuliMallKampteeRoad,Marathi,12:00,Executive,130₹,49,0
Pune,InoxAmanoraMallHadapsar,Marathi,12:05,Royale,340₹,3,0
Pune,InoxAmanoraMallHadapsar,Marathi,12:05,Club,180₹,109,0
Pune,InoxAmanoraMallHadapsar,Marathi,12:05,Executive,180₹,21,0
Mumbai,MetroInoxCinemaMGRoad,Marathi,12:05,Club,200₹,108,2
Mumbai,MetroInoxCinemaMGRoad,Marathi,12:05,Royale,200₹,48,0
Mumbai,MetroInoxCinemaMGRoad,Marathi,12:05,Executive,180₹,36,0
Amravati,PriyaTalkiesAmravati,Marathi,12:15,Balcony,100₹,169,0
Amravati,PriyaTalkiesAmravati,Marathi,12:15,UpperClass,60₹,230,0
Amravati,PriyaTalkiesAmravati,Marathi,12:15,LowerClass,40₹,100,0
Pune,ViluxTalkiesKhadkiBazar,Marathi,12:15,Gold,100₹,100,0
Pune,ViluxTalkiesKhadkiBazar,Marathi,12:15,Silver,100₹,100,0
Mumbai,MirajCinerajCinemasPanvel,Marathi,12:30,Box,130₹,8,8
Mumbai,MirajCinerajCinemasPanvel,Marathi,12:30,Family,130₹,354,5
Mumbai,PlazaCinemaDadarW,Marathi,12:30,BoxSofa,400₹,25,2
Mumbai,PlazaCinemaDadarW,Marathi,12:30,Sofa,350₹,54,2
Mumbai,PlazaCinemaDadarW,Marathi,12:30,Platinum,180₹,208,27
Mumbai,PlazaCinemaDadarW,Marathi,12:30,Gold,150₹,161,31
Mumbai,PlazaCinemaDadarW,Marathi,12:30,Silver,130₹,184,7
Washim,H2MMovieplexWashim,Marathi,12:30,Gl,100₹,96,0
Washim,H2MMovieplexWashim,Marathi,12:30,Pl,100₹,60,0
Washim,H2MMovieplexWashim,Marathi,12:30,Sf,100₹,500,479
Washim,H2MMovieplexWashim,Marathi,12:30,Sl,70₹,52,0
Pune,PvrIconPavillionMallShivajinagar,Marathi,12:40,Recliner,700₹,8,2
Pune,PvrIconPavillionMallShivajinagar,Marathi,12:40,Classic,300₹,28,0
Pune,PvrIconPavillionMallShivajinagar,Marathi,12:40,Prime,300₹,134,5
Aurangabad,InoxProzoneMallChilkalthana,Marathi,13:05,SkyBox,350₹,10,2
Aurangabad,InoxProzoneMallChilkalthana,Marathi,13:05,Regular,160₹,191,6
Mumbai,InoxRaghuleelaMallVashi,Marathi,13:05,Premier,200₹,85,3
Mumbai,InoxRaghuleelaMallVashi,Marathi,13:05,Silver,200₹,26,6
Mumbai,InoxRaghuleelaMallVashi,Marathi,13:05,Executive,180₹,22,0
Ulhasnagar,AshokAnilMultiplexMirajCinemasUlhasnaga,Marathi,13:15,Gold,130₹,125,3
Pune,VaibhavChitramandirHadapsar,Marathi,13:15,Gold,100₹,100,0
Mumbai,PvrXperiaPalavaDombivaliE,Marathi,13:25,Recliner,310₹,12,2
Mumbai,PvrXperiaPalavaDombivaliE,Marathi,13:25,Prime,210₹,108,2
Mumbai,PvrXperiaPalavaDombivaliE,Marathi,13:25,Classic,160₹,36,0
Nagpur,PvrEmpressCityMallNagpur,Marathi,13:40,Prime,190₹,95,15
Nagpur,PvrEmpressCityMallNagpur,Marathi,13:40,Classic,140₹,26,0
Latur,PvrLatur,Marathi,13:50,Prime,150₹,98,8
Latur,PvrLatur,Marathi,13:50,ClassicPlus,130₹,219,10
Latur,PvrLatur,Marathi,13:50,Classic,110₹,44,0
Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,14:20,ReclinerOffline,220₹,27,8
Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,14:20,PlatinumOffline,180₹,80,6
Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,14:20,GoldOffline,160₹,65,2
Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,14:20,SilverOffline,140₹,48,1
Thane,MaxusCinemasMaxusMallBhayandar,Marathi,15:00,Sofa,249₹,100,0
Thane,MaxusCinemasMaxusMallBhayandar,Marathi,15:00,PremiumPlus,199₹,100,0
Thane,MaxusCinemasMaxusMallBhayandar,Marathi,15:00,Premium,149₹,100,0
Ambernath,StarMirajCinemasAmbernath,Marathi,15:00,Platinum,160₹,70,8
Amravati,PriyaTalkiesAmravati,Marathi,15:15,Balcony,100₹,169,0
Amravati,PriyaTalkiesAmravati,Marathi,15:15,UpperClass,60₹,230,0
Amravati,PriyaTalkiesAmravati,Marathi,15:15,LowerClass,40₹,100,0
Mumbai,MaxusCinemasBorivaliW,Marathi,15:15,Couple,299₹,100,0
Mumbai,MaxusCinemasBorivaliW,Marathi,15:15,Recliner,299₹,100,0
Mumbai,MovietimeHubMallGoregaonE,Marathi,15:15,Gold,160₹,196,26
Nagpur,CarnivalSangamNagpur,Marathi,15:30,Gold,200₹,518,0
Nagpur,CarnivalSangamNagpur,Marathi,15:30,Silver,180₹,152,0
Pune,PvrKumarPacificMallSwarGate,Marathi,15:30,Recliner,400₹,12,0
Pune,PvrKumarPacificMallSwarGate,Marathi,15:30,Classic,300₹,24,0
Pune,PvrKumarPacificMallSwarGate,Marathi,15:30,Prime,300₹,162,6
Mumbai,BharatChitraMandirKurlaW,Marathi,15:30,Sofa,150₹,100,0
Mumbai,BharatChitraMandirKurlaW,Marathi,15:30,Premium,100₹,100,0
Jalgaon,InoxKhandeshCentralMallPratapNagar,Marathi,15:40,Club,110₹,160,0
Jalgaon,InoxKhandeshCentralMallPratapNagar,Marathi,15:40,Executive,110₹,80,0
Jalgaon,InoxKhandeshCentralMallPratapNagar,Marathi,15:40,Royal,110₹,71,0
Ulhasnagar,MirajCinemasFuncityUlhasnagar,Marathi,16:00,Special,160₹,70,0
Chandrapur,MirajCinemaChandrapur,Marathi,16:00,Gold,130₹,30,0
Chandrapur,MirajCinemaChandrapur,Marathi,16:00,Special,130₹,70,0
Chandrapur,MirajCinemaChandrapur,Marathi,16:00,Executive,130₹,105,2
Mumbai,PvrOrionPanvel,Marathi,16:05,PrimePlus,240₹,27,0
Mumbai,PvrOrionPanvel,Marathi,16:05,Prime,200₹,98,20
Mumbai,PvrOrionPanvel,Marathi,16:05,Classic,180₹,20,0
Nandurbar,MirajCinemasNandurbar,Marathi,16:30,Gold,270₹,15,0
Nandurbar,MirajCinemasNandurbar,Marathi,16:30,Executive,150₹,222,0
Nandurbar,MirajCinemasNandurbar,Marathi,16:30,Special,130₹,34,0
Pune,PvrMarketCityVimanNagar,Marathi,16:45,PrimePlus,350₹,10,0
Pune,PvrMarketCityVimanNagar,Marathi,16:45,Classic,260₹,52,4
Pune,PvrMarketCityVimanNagar,Marathi,16:45,Prime,260₹,119,3
Mumbai,CarnivalMoviestarGoregaonW,Marathi,16:45,GoldOffline,130₹,55,6
Mumbai,CarnivalMoviestarGoregaonW,Marathi,16:45,SilverOffline,100₹,20,0
Mumbai,CinepolisVivianaMall,Marathi,16:50,Premium,270₹,43,22
Mumbai,CinepolisVivianaMall,Marathi,16:50,Executive,250₹,97,10
Mumbai,CinepolisVivianaMall,Marathi,16:50,Normal,230₹,25,0
Mumbai,CarnivalHumaKanjurmargW,Marathi,17:00,ReclinerOffline,180₹,14,2
Mumbai,CarnivalHumaKanjurmargW,Marathi,17:00,PlatinumOffline,140₹,76,0
Mumbai,CarnivalHumaKanjurmargW,Marathi,17:00,GoldOffline,110₹,80,5
Mumbai,CarnivalHumaKanjurmargW,Marathi,17:00,SilverOffline,110₹,80,0
Mumbai,MaxusCinemasKurla,Marathi,17:00,Sofa,180₹,100,0
Mumbai,MaxusCinemasKurla,Marathi,17:00,Premium,150₹,100,0
Mumbai,MovietimeChembur,Marathi,17:00,Silver,180₹,75,6
Pune,CinepolisSeasonsMall,Marathi,17:10,Premium,240₹,22,1
Pune,CinepolisSeasonsMall,Marathi,17:10,Normal,220₹,17,0
Pune,CinepolisSeasonsMall,Marathi,17:10,Executive,220₹,49,0
Mumbai,PvrMarketCityKurlaW,Marathi,17:15,Prime,250₹,155,6
Mumbai,PvrMarketCityKurlaW,Marathi,17:15,Classic,200₹,85,0
Amravati,PriyaTalkiesAmravati,Marathi,18:15,Balcony,100₹,169,0
Amravati,PriyaTalkiesAmravati,Marathi,18:15,UpperClass,60₹,230,0
Amravati,PriyaTalkiesAmravati,Marathi,18:15,LowerClass,40₹,100,0
Ahmednagar,AshaSquareMultiplexAhmednagar,Marathi,18:15,GoldenClass,150₹,100,0
Pen,CarnivalMoreshwarChinchpada,Marathi,18:30,Platinum,110₹,96,4
Pen,CarnivalMoreshwarChinchpada,Marathi,18:30,Gold,100₹,42,0
Nagpur,SudamaTheatreNagpur,Marathi,18:30,Balcony,150₹,100,0
Nagpur,SudamaTheatreNagpur,Marathi,18:30,DressCircle,100₹,100,0
Nagpur,SudamaTheatreNagpur,Marathi,18:30,ReserveClass,80₹,100,0
Pune,CarnivalPremierPlazaChinchwad,Marathi,18:45,PlatinumOffline,170₹,36,20
Pune,CarnivalPremierPlazaChinchwad,Marathi,18:45,GoldOffline,150₹,18,0
Pune,CarnivalPremierPlazaChinchwad,Marathi,18:45,SilverOffline,130₹,9,0
Mumbai,CinepolisMagnetMall,Marathi,19:05,Vip,300₹,12,2
Mumbai,CinepolisMagnetMall,Marathi,19:05,Normal,150₹,26,0
Mumbai,CinepolisMagnetMall,Marathi,19:05,Premium,150₹,46,14
Mumbai,CinepolisMagnetMall,Marathi,19:05,Executive,150₹,34,0
Pune,RahulTalkies70MmShivajiNagar,Marathi,19:30,GoldClass,100₹,201,0
