State,City,Name,Language,Time,Type,Price,Capacity,Booked
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,10:00,Recliner,300₹,9,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,10:00,Prime,190₹,20,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,10:00,Classic,170₹,85,0
Karnataka,Bellary,RrCinemasBellary,Kannada,11:00,Gold,150₹,124,83
Karnataka,Bellary,RrCinemasBellary,Kannada,11:00,Silver,100₹,242,132
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,12:00,Recliner,420₹,12,0
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,12:00,Prime,260₹,99,0
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,12:00,Classic,240₹,108,2
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,13:00,Vip,400₹,12,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,13:00,Normal,200₹,30,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,13:00,Premium,200₹,43,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,13:00,Executive,200₹,63,0
Karnataka,Bellary,RrCinemasBellary,Kannada,14:00,Gold,150₹,124,83
Karnataka,Bellary,RrCinemasBellary,Kannada,14:00,Silver,100₹,242,132
Karnataka,Mysore,PvrGarudaMallAlbertVictorRoad,Kannada,15:30,Classic,130₹,102,0
Karnataka,Mysore,PvrGarudaMallAlbertVictorRoad,Kannada,15:30,Classic,130₹,102,0
Karnataka,Mysore,InoxMallOfMysoreMgRoad,Kannada,15:50,Club,180₹,264,19
Karnataka,Bangalore,InoxGarudaYelahankaBangalore,Kannada,16:25,Club,300₹,111,0
Karnataka,Bangalore,InoxGarudaYelahankaBangalore,Kannada,16:25,Executive,290₹,60,0
Karnataka,Bellary,RrCinemasBellary,Kannada,17:00,Gold,150₹,124,83
Karnataka,Bellary,RrCinemasBellary,Kannada,17:00,Silver,100₹,242,132
Karnataka,Davanagere,MovietimeSsGardeniaMallDavanagere,Kannada,17:00,Gold,230₹,79,0
Karnataka,Davanagere,MovietimeSsGardeniaMallDavanagere,Kannada,17:00,Premier,200₹,180,0
Karnataka,Bangalore,PvrForumMallKoramangala,Kannada,18:45,Recliner,500₹,12,0
Karnataka,Bangalore,PvrForumMallKoramangala,Kannada,18:45,Classic,260₹,166,8
Karnataka,Bangalore,InoxShreeGarudaSwagathMallJayanagar,Kannada,18:50,Club,280₹,45,0
Karnataka,Bangalore,InoxShreeGarudaSwagathMallJayanagar,Kannada,18:50,Executive,270₹,133,0
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,Kannada,19:00,Classic,240₹,114,0
Karnataka,Hubli,PvrLaxmiMallCoenRoad,Kannada,19:00,Prime,280₹,9,0
Karnataka,Hubli,PvrLaxmiMallCoenRoad,Kannada,19:00,ClassicPlus,180₹,124,0
Karnataka,Hubli,PvrLaxmiMallCoenRoad,Kannada,19:00,Classic,150₹,68,0
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Kannada,19:05,Royal,440₹,10,0
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Kannada,19:05,Club,290₹,260,9
Karnataka,Bellary,RrCinemasBellary,Kannada,20:00,Gold,150₹,124,83
Karnataka,Bellary,RrCinemasBellary,Kannada,20:00,Silver,100₹,242,132
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Kannada,21:40,Classic,150₹,71,0
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Kannada,22:10,Classic,220₹,107,3
