State,City,Name,Language,Time,Type,Price,Capacity,Booked
TamilNadu,Thiruvannamalai,SriBalasubramaniarCinemasAC4KDolbyAtmos,Tamil,11:00,Balcony,99₹,115,1
TamilNadu,Vellichanthai,RakkiCinemasRgbLaser4KDolbyAtmosAmbattur,Tamil,11:30,Executive,110₹,131,1
TamilNadu,Vellichanthai,PvrSklsGalaxyMallRedHills,Tamil,12:00,Prime,165₹,81,6
TamilNadu,Vellichanthai,PvrSklsGalaxyMallRedHills,Tamil,12:00,Classic,60₹,16,16
TamilNadu,Thiruvannamalai,SriBalasubramaniarCinemasAC4KDolbyAtmos,Tamil,14:30,Balcony,99₹,115,0
TamilNadu,Vellichanthai,RakkiCinemasRgbLaser4KDolbyAtmosAmbattur,Tamil,15:00,Premium,150₹,91,2
TamilNadu,Vellichanthai,RakkiCinemasRgbLaser4KDolbyAtmosAmbattur,Tamil,15:00,Executive,110₹,210,10
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,15:30,Club,190₹,134,7
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,15:30,Executive,60₹,22,0
TamilNadu,Vellichanthai,CinepolisBsrMall,Tamil,15:30,Executive,152₹,124,1
TamilNadu,Vellichanthai,CinepolisBsrMall,Tamil,15:30,Normal,60₹,17,6
TamilNadu,Madurai,InoxVishaalDeMalMadurai,Tamil,15:35,Club,178₹,124,15
TamilNadu,Madurai,InoxVishaalDeMalMadurai,Tamil,15:35,Executive,60₹,12,12
TamilNadu,Vellichanthai,InoxTheMarinaMallOmr,Tamil,15:40,Club,190₹,126,2
TamilNadu,Vellichanthai,InoxTheMarinaMallOmr,Tamil,15:40,Executive,60₹,16,13
TamilNadu,Thiruvannamalai,SriBalasubramaniarCinemasAC4KDolbyAtmos,Tamil,18:15,Balcony,99₹,115,0
TamilNadu,Vellichanthai,PvrGrandMallVelachery,Tamil,18:20,Prime,165₹,130,20
TamilNadu,Vellichanthai,PvrGrandMallVelachery,Tamil,18:20,Classic,60₹,40,40
TamilNadu,Tirunelveli,TpvMultiplexDolbyAtmosSilverScreen4K3D,Tamil,18:30,FirstClass,110₹,168,8
TamilNadu,Vellichanthai,RakkiCinemasRgbLaser4KDolbyAtmosAmbattur,Tamil,18:45,Premium,150₹,91,0
TamilNadu,Vellichanthai,RakkiCinemasRgbLaser4KDolbyAtmosAmbattur,Tamil,18:45,Executive,110₹,210,3
TamilNadu,Vellore,PvrVelocitySilkMillGandhiNagar,Tamil,18:50,Prime,149₹,158,2
TamilNadu,Vellore,PvrVelocitySilkMillGandhiNagar,Tamil,18:50,Classic,60₹,18,18
TamilNadu,Coimbatore,FunCinemaRepublicMall,Tamil,19:20,Executive,152₹,162,23
TamilNadu,Coimbatore,FunCinemaRepublicMall,Tamil,19:20,Normal,60₹,19,19
TamilNadu,Thiruvannamalai,SriBalasubramaniarCinemasAC4KDolbyAtmos,Tamil,21:45,Balcony,99₹,115,0
TamilNadu,Vellichanthai,PvrAmpaSkywalkMallAminjikarai,Tamil,22:05,Prime,165₹,116,0
TamilNadu,Vellichanthai,PvrAmpaSkywalkMallAminjikarai,Tamil,22:05,Classic,60₹,17,10
TamilNadu,Vellichanthai,PvrAmpaSkywalkMallAminjikarai,Tamil,22:05,Prime,165₹,116,6
TamilNadu,Vellichanthai,PvrAmpaSkywalkMallAminjikarai,Tamil,22:05,Classic,60₹,17,17
TamilNadu,Vellichanthai,PvrHeritageRslEcrChennai,Tamil,22:10,Prime,165₹,99,25
TamilNadu,Vellichanthai,PvrHeritageRslEcrChennai,Tamil,22:10,Classic,60₹,11,11
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,22:15,Club,190₹,142,4
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,22:15,Executive,60₹,19,4
TamilNadu,Vellichanthai,RakkiCinemasRgbLaser4KDolbyAtmosAmbattur,Tamil,22:15,Premium,150₹,91,2
TamilNadu,Vellichanthai,RakkiCinemasRgbLaser4KDolbyAtmosAmbattur,Tamil,22:15,Executive,110₹,210,0
TamilNadu,Vellichanthai,InoxTheMarinaMallOmr,Tamil,22:25,Club,190₹,126,3
TamilNadu,Vellichanthai,InoxTheMarinaMallOmr,Tamil,22:25,Executive,60₹,16,16
