State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,08:50,Vip,450₹,14,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,08:50,Premium,250₹,57,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,08:50,Executive,230₹,70,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,08:50,Normal,210₹,46,0
Maharashtra,Nagpur,AlankarCinemaGorepeth,Marathi,12:30,Balcony,120₹,188,9
Maharashtra,Nagpur,AlankarCinemaGorepeth,Marathi,12:30,FirstBalcony,80₹,311,26
Maharashtra,Mumbai,MovietimeHubMallGoregaonE,Marathi,12:30,Mhraja,130₹,44,11
Maharashtra,Chandrapur,MirajCinemaChandrapur,Marathi,12:30,Gold,130₹,30,5
Maharashtra,Chandrapur,MirajCinemaChandrapur,Marathi,12:30,Special,130₹,70,0
Maharashtra,Chandrapur,MirajCinemaChandrapur,Marathi,12:30,Executive,130₹,105,0
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,14:25,Premium,200₹,35,3
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,14:25,Executive,190₹,83,0
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,14:25,Normal,180₹,29,0
Maharashtra,Nagpur,AlankarCinemaGorepeth,Marathi,15:30,Balcony,120₹,188,9
Maharashtra,Nagpur,AlankarCinemaGorepeth,Marathi,15:30,FirstBalcony,80₹,311,26
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,19:20,Premium,270₹,12,12
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,19:20,Executive,250₹,72,16
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,19:20,Normal,230₹,24,0
